AssemblyAccession	Taxid	LastMajorReleaseAccession	AssemblyName	Organism	SpeciesTaxid	SpeciesName	Synonym	superkingdom	phylum	class	order	family	genus	species
GCF_002865645.1	1095630	GCF_002865645.1	Melbi2	Meliniomyces bicolor E (ascomycetes)	2482752	Hyaloscypha bicolor	GCA_002865645.1GCF_002865645.1identical	Eukaryota	Ascomycota	Leotiomycetes	Helotiales	Hyaloscyphaceae	Hyaloscypha	Hyaloscypha bicolor
GCF_000409485.1	1116229	GCF_000409485.1	GLAREA	Glarea lozoyensis ATCC 20868 (ascomycetes)	101852	Glarea lozoyensis	GCA_000409485.1GCF_000409485.1identical	Eukaryota	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Glarea	Glarea lozoyensis
GCF_900074925.1	112498	GCF_900074925.1	version 1	Ramularia collo-cygni (ascomycetes)	112498	Ramularia collo-cygni	GCA_900074925.1GCF_900074925.1identical	Eukaryota	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	Ramularia	Ramularia collo-cygni
GCF_000320785.1	1130832	GCF_000320785.1	RHOziaDV1.0	Rhodotorula toruloides NP11 (basidiomycetes)	5286	Rhodotorula toruloides	GCA_000320785.2GCF_000320785.1identical	Eukaryota	Basidiomycota	Microbotryomycetes	Sporidiobolales	Sporidiobolaceae	Rhodotorula	Rhodotorula toruloides
GCF_000315875.1	1136231	GCF_000315875.1	ASM31587v1	Candida orthopsilosis Co 90-125 (budding yeasts)	273371	Candida orthopsilosis	GCA_000315875.1GCF_000315875.1identical	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Candida	Candida orthopsilosis
GCF_001890805.1	1160497	GCF_001890805.1	Aspgl1	Aspergillus glaucus CBS 516.65 (ascomycetes)	41413	Aspergillus glaucus	GCA_001890805.1GCF_001890805.1identical	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus glaucus
GCF_000281105.1	1168221	GCF_000281105.1	Coni_apol_CBS100218 _V1	Coniosporium apollinis CBS 100218 (ascomycetes)	61459	Coniosporium apollinis	GCA_000281105.1GCF_000281105.1identical	Eukaryota	Ascomycota	Dothideomycetes	NA	NA	Coniosporium	Coniosporium apollinis
GCF_000315645.1	1170230	GCF_000315645.1	PdigPd1_v1	Penicillium digitatum Pd1 (ascomycetes)	36651	Penicillium digitatum	GCA_000315645.2GCF_000315645.1different	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium digitatum
GCF_000280035.1	1178016	GCF_000280035.1	ASM28003v2	Encephalitozoon romaleae SJ-2008 (microsporidians)	571949	Encephalitozoon romaleae	GCA_000280035.2GCF_000280035.1identical	Eukaryota	Microsporidia	NA	NA	Unikaryonidae	Encephalitozoon	Encephalitozoon romaleae
GCF_000585585.1	1182541	GCF_000585585.1	Capr_coro_CBS_617_96_V1	Capronia coronata CBS 617.96 (ascomycetes)	43229	Capronia coronata	GCA_000585585.1GCF_000585585.1identical	Eukaryota	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Capronia	Capronia coronata
GCF_000585565.1	1182542	GCF_000585565.1	Capr_epim_CBS_606_96_V1	Capronia epimyces CBS 606.96 (ascomycetes)	43228	Capronia epimyces	GCA_000585565.1GCF_000585565.1identical	Eukaryota	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Capronia	Capronia epimyces
GCF_000585535.1	1182543	GCF_000585535.1	Clad_psam_CBS_110553_V1	Cladophialophora psammophila CBS 110553 (ascomycetes)	1182553	Cladophialophora psammophila	GCA_000585535.1GCF_000585535.1identical	Eukaryota	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Cladophialophora	Cladophialophora psammophila
GCF_000585515.1	1182544	GCF_000585515.1	Clad_yegr_CBS_114405_V1	Cladophialophora yegresii CBS 114405 (ascomycetes)	470704	Cladophialophora yegresii	GCA_000585515.1GCF_000585515.1identical	Eukaryota	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Cladophialophora	Cladophialophora yegresii
GCF_000709125.1	1182545	GCF_000709125.1	Exop_aqua_CBS_119918_V1	Exophiala aquamarina CBS 119918 (ascomycetes)	1033840	Exophiala aquamarina	GCA_000709125.1GCF_000709125.1identical	Eukaryota	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Exophiala	Exophiala aquamarina
GCF_000293215.1	1186058	GCF_000293215.1	Trichosporon asahii 1	Trichosporon asahii var. asahii CBS 2479 (basidiomycetes)	82508	Trichosporon asahii	GCA_000293215.1GCF_000293215.1identical	Eukaryota	Basidiomycota	Tremellomycetes	Trichosporonales	Trichosporonaceae	Trichosporon	Trichosporon asahii
GCF_001831195.1	1209926	GCF_001831195.1	CORC01	Colletotrichum orchidophilum (ascomycetes)	1209926	Colletotrichum orchidophilum	GCA_001831195.1GCF_001831195.1identical	Eukaryota	Ascomycota	Sordariomycetes	Glomerellales	Glomerellaceae	Colletotrichum	Colletotrichum orchidophilum
GCF_000365145.1	1220924	GCF_000365145.1	Phia_euro_CBS_101466_V1	Cyphellophora europaea CBS 101466 (ascomycetes)	293227	Cyphellophora europaea	GCA_000365145.2GCF_000365145.1identical	Eukaryota	Ascomycota	Eurotiomycetes	Chaetothyriales	Cyphellophoraceae	Cyphellophora	Cyphellophora europaea
GCF_002742065.1	122368	GCF_002742065.1	CB0940_V2	Cercospora beticola (ascomycetes)	122368	Cercospora beticola	GCA_002742065.1GCF_002742065.1identical	Eukaryota	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	Cercospora	Cercospora beticola
GCF_000516985.1	1229662	GCF_000516985.1	PFICI	Pestalotiopsis fici W106-1 (ascomycetes)	393283	Pestalotiopsis fici	GCA_000516985.1GCF_000516985.1identical	Eukaryota	Ascomycota	Sordariomycetes	Xylariales	Sporocadaceae	Pestalotiopsis	Pestalotiopsis fici
GCF_000349305.1	1230383	GCF_000349305.1	ASM34930v2	Malassezia sympodialis ATCC 42132 (basidiomycetes)	76777	Malassezia sympodialis	GCA_000349305.2GCF_000349305.1identical	Eukaryota	Basidiomycota	Malasseziomycetes	Malasseziales	Malasseziaceae	Malassezia	Malassezia sympodialis
GCF_002926085.2	1231522	GCF_002926085.1	CanDuoHae_v1.0	[Candida] duobushaemulonis (budding yeasts)	1231522	[Candida] duobushaemulonis	GCA_002926085.1GCF_002926085.2identical	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Metschnikowiaceae	Clavispora	[Candida] duobushaemulonis
GCF_000938715.1	1245769	GCF_000938715.1	LALA0	Lachancea lanzarotensis (budding yeasts)	1245769	Lachancea lanzarotensis	GCA_000938715.1GCF_000938715.1identical	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Lachancea	Lachancea lanzarotensis
GCF_000464535.1	1263415	GCF_000464535.1	EPUS	Endocarpon pusillum Z07020 (ascomycetes)	364733	Endocarpon pusillum	GCA_000464535.1GCF_000464535.1identical	Eukaryota	Ascomycota	Eurotiomycetes	Verrucariales	Verrucariaceae	Endocarpon	Endocarpon pusillum
GCF_000814965.1	1276141	GCF_000814965.1	MBR_1.0	Metarhizium brunneum ARSEF 3297 (ascomycetes)	500148	Metarhizium brunneum	GCA_000814965.1GCF_000814965.1identical	Eukaryota	Ascomycota	Sordariomycetes	Hypocreales	Clavicipitaceae	Metarhizium	Metarhizium brunneum
GCF_000417875.1	1277687	GCF_000417875.1	Pflocc_1.0	Anthracocystis flocculosa PF-1 (smut fungi)	84751	Anthracocystis flocculosa	GCA_000417875.1GCF_000417875.1identical	Eukaryota	Basidiomycota	Ustilaginomycetes	Ustilaginales	Ustilaginaceae	Anthracocystis	Anthracocystis flocculosa
GCF_000365165.1	1279043	GCF_000365165.1	Clad_carr_CBS_160_54_V1	Cladophialophora carrionii CBS 160.54 (ascomycetes)	86049	Cladophialophora carrionii	GCA_000365165.2GCF_000365165.1identical	Eukaryota	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Cladophialophora	Cladophialophora carrionii
GCF_900079805.1	1279085	GCF_900079805.1	Fusarium_fujikuroi_IMI58289_V2	Fusarium fujikuroi IMI 58289 (ascomycetes)	5127	Fusarium fujikuroi	GCA_900079805.1GCF_900079805.1identical	Eukaryota	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium fujikuroi
GCF_003144205.1	1280837	GCF_003144205.1	Meimi1	Meira miltonrushii (basidiomycetes)	1280837	Meira miltonrushii	GCA_003144205.1GCF_003144205.1identical	Eukaryota	Basidiomycota	Exobasidiomycetes	Exobasidiales	Brachybasidiaceae	Meira	Meira miltonrushii
GCF_000392275.1	1286976	GCF_000392275.1	UCRPA7V03	Phaeoacremonium minimum UCRPA7 (ascomycetes)	223192	Phaeoacremonium minimum	GCA_000392275.1GCF_000392275.1identical	Eukaryota	Ascomycota	Sordariomycetes	Togniniales	Togniniaceae	Phaeoacremonium	Phaeoacremonium minimum
GCF_001720155.1	1295528	GCF_001720155.1	Tsuc_wing_CBS7118_V1	Cryptococcus wingfieldii CBS 7118 (basidiomycetes)	5619	Cryptococcus wingfieldii	GCA_001720155.1GCF_001720155.1identical	Eukaryota	Basidiomycota	Tremellomycetes	Tremellales	Cryptococcaceae	Cryptococcus	Cryptococcus wingfieldii
GCF_001720205.1	1295533	GCF_001720205.1	Cryp_amyl_CBS6039_V3	Cryptococcus amylolentus CBS 6039 (basidiomycetes)	104669	Cryptococcus amylolentus	GCA_001720205.1GCF_001720205.1identical	Eukaryota	Basidiomycota	Tremellomycetes	Tremellales	Cryptococcaceae	Cryptococcus	Cryptococcus amylolentus
GCF_000512605.1	1296096	GCF_000512605.1	Cryp_pinu_CBS10737_V1	Kwoniella pini CBS 10737 (basidiomycetes)	453459	Kwoniella pini	GCA_000512605.2GCF_000512605.1identical	Eukaryota	Basidiomycota	Tremellomycetes	Tremellales	Cryptococcaceae	Kwoniella	Kwoniella pini
GCF_000512585.1	1296100	GCF_000512585.1	Cryp_best_CBS10118_V1	Kwoniella bestiolae CBS 10118 (basidiomycetes)	324769	Kwoniella bestiolae	GCA_000512585.2GCF_000512585.1identical	Eukaryota	Basidiomycota	Tremellomycetes	Tremellales	Cryptococcaceae	Kwoniella	Kwoniella bestiolae
GCF_000512565.1	1296121	GCF_000512565.1	Cryp_deje_CBS10117_V1	Kwoniella dejecticola CBS 10117 (basidiomycetes)	324770	Kwoniella dejecticola	GCA_000512565.2GCF_000512565.1identical	Eukaryota	Basidiomycota	Tremellomycetes	Tremellales	Cryptococcaceae	Kwoniella	Kwoniella dejecticola
GCF_000507465.1	1296122	GCF_000507465.1	Kwon_mang_CBS8507_V2	Kwoniella mangroviensis CBS 8507 (basidiomycetes)	463800	Kwoniella mangrovensis	GCA_000507465.3GCF_000507465.1identical	Eukaryota	Basidiomycota	Tremellomycetes	Tremellales	Cryptococcaceae	Kwoniella	Kwoniella mangrovensis
GCF_000400465.1	1299270	GCF_000400465.1	Wallemia ichthyophaga version 1.0	Wallemia ichthyophaga EXF-994 (basidiomycetes)	245174	Wallemia ichthyophaga	GCA_000400465.1GCF_000400465.1identical	Eukaryota	Basidiomycota	Wallemiomycetes	Wallemiales	Wallemiaceae	Wallemia	Wallemia ichthyophaga
GCF_000403515.1	1305764	GCF_000403515.1	ASM40351v1	Pseudozyma hubeiensis SY62 (smut fungi)	327079	Pseudozyma hubeiensis	GCA_000403515.1GCF_000403515.1identical	Eukaryota	Basidiomycota	Ustilaginomycetes	Ustilaginales	Ustilaginaceae	Pseudozyma	Pseudozyma hubeiensis
GCF_003711515.1	1314773	GCF_003711515.1	Sodal1	Sodiomyces alkalinus F11 (ascomycetes)	1302862	Sodiomyces alkalinus	GCA_003711515.1GCF_003711515.1identical	Eukaryota	Ascomycota	Sordariomycetes	Glomerellales	Plectosphaerellaceae	Sodiomyces	Sodiomyces alkalinus
GCF_001619985.1	1328760	GCF_001619985.1	Xylona heveae TC161 v1.0	Xylona heveae TC161 (ascomycetes)	1217826	Xylona heveae	GCA_001619985.1GCF_001619985.1identical	Eukaryota	Ascomycota	Xylonomycetes	Xylonales	Xylonaceae	Xylona	Xylona heveae
GCF_002708625.1	1340429	GCF_002708625.1	Rhimi1_1	Rhizopus microsporus ATCC 52813 (fungi)	58291	Rhizopus microsporus	GCA_002708625.1GCF_002708625.1identical	Eukaryota	Mucoromycota	Mucoromycetes	Mucorales	Rhizopodaceae	Rhizopus	Rhizopus microsporus
GCF_003344945.1	1341132	GCF_003344945.1	Aspwel1	Aspergillus welwitschiae (ascomycetes)	1341132	Aspergillus welwitschiae	GCA_003344945.1GCF_003344945.1identical	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus welwitschiae
GCF_001661345.1	1344418	GCF_001661345.1	Ascru1	Ascoidea rubescens DSM 1968 (budding yeasts)	54195	Ascoidea rubescens	GCA_001661345.1GCF_001661345.1identical	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Ascoideaceae	Ascoidea	Ascoidea rubescens
GCF_000803265.1	1354746	GCF_000803265.1	ASM80326v1	Ordospora colligata OC4 (microsporidians)	174685	Ordospora colligata	GCA_000803265.1GCF_000803265.1identical	Eukaryota	Microsporidia	NA	NA	Ordosporidae	Ordospora	Ordospora colligata
GCF_000497045.1	1365824	GCF_000497045.1	PSEUBRA1	Kalmanozyma brasiliensis GHG001 (smut fungi)	1392244	Kalmanozyma brasiliensis	GCA_000497045.1GCF_000497045.1identical	Eukaryota	Basidiomycota	Ustilaginomycetes	Ustilaginales	Ustilaginaceae	Kalmanozyma	Kalmanozyma brasiliensis
GCF_001651985.1	1367422	GCF_001651985.1	ASM165198v1	Fonsecaea erecta (ascomycetes)	1367422	Fonsecaea erecta	GCA_001651985.1GCF_001651985.1identical	Eukaryota	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Fonsecaea	Fonsecaea erecta
GCF_001653235.2	1380566	GCF_001653235.2	ASM165323v2	Pochonia chlamydosporia 170 (ascomycetes)	280754	Pochonia chlamydosporia	GCA_001653235.2GCF_001653235.2identical	Eukaryota	Ascomycota	Sordariomycetes	Hypocreales	Clavicipitaceae	Pochonia	Pochonia chlamydosporia
GCF_000576695.1	1382522	GCF_000576695.1	AUH_PRJEB4427_v1	Kuraishia capsulata CBS 1993 (budding yeasts)	317047	Kuraishia capsulata	GCA_000576695.1GCF_000576695.1identical	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	NA	Kuraishia	Kuraishia capsulata
GCF_002847485.1	1392248	GCF_002847485.1	Aspcam1	Aspergillus campestris IBT 28561 (ascomycetes)	41068	Aspergillus campestris	GCA_002847485.1GCF_002847485.1identical	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus campestris
GCF_002849105.1	1392250	GCF_002849105.1	Aspste1	Aspergillus steynii IBT 23096 (ascomycetes)	306088	Aspergillus steynii	GCA_002849105.1GCF_002849105.1identical	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus steynii
GCF_002847465.1	1392255	GCF_002847465.1	Aspnov1	Aspergillus novofumigatus IBT 16806 (ascomycetes)	340412	Aspergillus novofumigatus	GCA_002847465.1GCF_002847465.1identical	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus novofumigatus
GCF_000961545.1	1397361	GCF_000961545.1	S_schenckii_v1	Sporothrix schenckii 1099-18 (ascomycetes)	29908	Sporothrix schenckii	GCA_000961545.1GCF_000961545.1identical	Eukaryota	Ascomycota	Sordariomycetes	Ophiostomatales	Ophiostomataceae	Sporothrix	Sporothrix schenckii
GCF_003851025.1	139825	GCF_003851025.1	SCP_1.1	Sparassis crispa (basidiomycetes)	139825	Sparassis crispa	GCA_003851025.1GCF_003851025.1identical	Eukaryota	Basidiomycota	Agaricomycetes	Polyporales	Sparassidaceae	Sparassis	Sparassis crispa
GCF_000968595.1	1408163	GCF_000968595.1	ASM96859v1	Rasamsonia emersonii CBS 393.64 (ascomycetes)	68825	Rasamsonia emersonii	GCA_000968595.1GCF_000968595.1identical	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Rasamsonia	Rasamsonia emersonii
GCF_001477535.1	1408657	GCF_001477535.1	Pneu_jiro_RU7_V2	Pneumocystis jirovecii RU7 (ascomycetes)	42068	Pneumocystis jirovecii	GCA_001477535.1GCF_001477535.1identical	Eukaryota	Ascomycota	Pneumocystidomycetes	Pneumocystidales	Pneumocystidaceae	Pneumocystis	Pneumocystis jirovecii
GCF_001477545.1	1408658	GCF_001477545.1	Pneu_cari_B80_V3	Pneumocystis carinii B80 (ascomycetes)	4754	Pneumocystis carinii	GCA_001477545.1GCF_001477545.1identical	Eukaryota	Ascomycota	Pneumocystidomycetes	Pneumocystidales	Pneumocystidaceae	Pneumocystis	Pneumocystis carinii
GCF_001907595.1	1441469	GCF_001907595.1	ASM190759v1	Talaromyces atroroseus (ascomycetes)	1441469	Talaromyces atroroseus	GCA_001907595.1GCF_001907595.1identical	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Talaromyces	Talaromyces atroroseus
GCF_000835455.1	1442368	GCF_000835455.1	Fons_pedr_CBS_271_37_V1	Fonsecaea pedrosoi CBS 271.37 (ascomycetes)	40355	Fonsecaea pedrosoi	GCA_000835455.1GCF_000835455.1identical	Eukaryota	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Fonsecaea	Fonsecaea pedrosoi
GCF_000835555.1	1442369	GCF_000835555.1	Rhin_mack_CBS_650_93_V1	Rhinocladiella mackenziei CBS 650.93 (ascomycetes)	86056	Rhinocladiella mackenziei	GCA_000835555.1GCF_000835555.1identical	Eukaryota	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Rhinocladiella	Rhinocladiella mackenziei
GCF_000835475.1	1442370	GCF_000835475.1	Clad_bant_CBS_173_52_V1	Cladophialophora bantiana CBS 173.52 (ascomycetes)	89940	Cladophialophora bantiana	GCA_000835475.1GCF_000835475.1identical	Eukaryota	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Cladophialophora	Cladophialophora bantiana
GCF_000836435.1	1442371	GCF_000836435.1	Fons_mult_CBS_102226_V1	Fonsecaea multimorphosa CBS 102226 (ascomycetes)	979981	Fonsecaea multimorphosa	GCA_000836435.1GCF_000836435.1identical	Eukaryota	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Fonsecaea	Fonsecaea multimorphosa
GCF_003184625.1	1448310	GCF_003184625.1	Aspneo1	Aspergillus neoniger CBS 115656 (ascomycetes)	1196635	Aspergillus neoniger	GCA_003184625.1GCF_003184625.1identical	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus neoniger
GCF_003184925.1	1448311	GCF_003184925.1	Aspvad1	Aspergillus vadensis CBS 113365 (ascomycetes)	288669	Aspergillus vadensis	GCA_003184925.1GCF_003184925.1identical	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus vadensis
GCF_003184785.1	1448312	GCF_003184785.1	Aspjap1	Aspergillus japonicus CBS 114.51 (ascomycetes)	34381	Aspergillus japonicus	GCA_003184785.1GCF_003184785.1identical	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus japonicus
GCF_003184755.1	1448313	GCF_003184755.1	Asppip1	Aspergillus piperis CBS 112811 (ascomycetes)	319630	Aspergillus piperis	GCA_003184755.1GCF_003184755.1identical	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus piperis
GCF_003184535.1	1448314	GCF_003184535.1	Aspeuc1	Aspergillus eucalypticola CBS 122712 (ascomycetes)	1340029	Aspergillus eucalypticola	GCA_003184535.1GCF_003184535.1identical	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus eucalypticola
GCF_003184745.1	1448315	GCF_003184745.1	Aspuva1	Aspergillus uvarum CBS 121591 (ascomycetes)	446911	Aspergillus uvarum	GCA_003184745.1GCF_003184745.1identical	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus uvarum
