AssemblyAccession	Taxid	LastMajorReleaseAccession	AssemblyName	Organism	SpeciesTaxid	SpeciesName	Synonym	superkingdom	phylum	class	order	family	genus	species
GCF_000271325.1	1002809	GCF_000271325.1	ASM27132v1	Solibacillus silvestris StLB046 (firmicutes)	76853	Solibacillus silvestris	GCA_000271325.1GCF_000271325.1identical	Bacteria	Firmicutes	Bacilli	Bacillales	Planococcaceae	Solibacillus	Solibacillus silvestris
GCF_000486405.2	1003191	GCF_000486405.2	ASM48640v2	Salmonella enterica subsp. enterica serovar Tennessee str. TXSC_TXSC08-19 (enterobacteria)	28901	Salmonella enterica	GCA_000486405.2GCF_000486405.2identical	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella	Salmonella enterica
GCF_000237305.1	1003195	GCF_000237305.1	ASM23730v1	Streptomyces cattleya NRRL 8057 = DSM 46488 (high GC Gram+)	29303	Streptomyces cattleya	GCA_000237305.1GCF_000237305.1identical	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces cattleya
GCF_000240165.1	1003195	GCF_000240165.1	ASM24016v1	Streptomyces cattleya NRRL 8057 = DSM 46488 (high GC Gram+)	29303	Streptomyces cattleya	GCA_000240165.1GCF_000240165.1identical	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces cattleya
GCF_000277285.1	1003201	GCF_000277285.1	ASM27728v1	Rickettsia typhi str. TH1527 (a-proteobacteria)	785	Rickettsia typhi	GCA_000277285.1GCF_000277285.1identical	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Rickettsiaceae	Rickettsia	Rickettsia typhi
GCF_000277305.1	1003202	GCF_000277305.1	ASM27730v1	Rickettsia typhi str. B9991CWPP (a-proteobacteria)	785	Rickettsia typhi	GCA_000277305.1GCF_000277305.1identical	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Rickettsiaceae	Rickettsia	Rickettsia typhi
GCF_002224345.1	1003239	GCF_002224345.1	ASM222434v1	Bacillus cereus C1L (firmicutes)	1396	Bacillus cereus	GCA_002224345.1GCF_002224345.1identical	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus cereus
GCF_000299995.1	1004785	GCF_000299995.1	ASM29999v1	Alteromonas macleodii str. 'Black Sea 11' (g-proteobacteria)	28108	Alteromonas macleodii	GCA_000299995.1GCF_000299995.1identical	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Alteromonas	Alteromonas macleodii
GCF_000310085.1	1004786	GCF_000310085.1	ASM31008v1	Alteromonas mediterranea DE1 (g-proteobacteria)	314275	Alteromonas mediterranea	GCA_000310085.1GCF_000310085.1identical	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Alteromonas	Alteromonas mediterranea
GCF_000300175.1	1004787	GCF_000300175.1	ASM30017v1	Alteromonas macleodii str. 'Balearic Sea AD45' (g-proteobacteria)	28108	Alteromonas macleodii	GCA_000300175.1GCF_000300175.1identical	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Alteromonas	Alteromonas macleodii
GCF_000299955.1	1004788	GCF_000299955.1	ASM29995v1	Alteromonas macleodii str. 'English Channel 673' (g-proteobacteria)	28108	Alteromonas macleodii	GCA_000299955.1GCF_000299955.1identical	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Alteromonas	Alteromonas macleodii
GCF_002993285.1	1004901	GCF_002993285.1	ASM299328v1	Gordonia iterans (high GC Gram+)	1004901	Gordonia iterans	GCA_002993285.1GCF_002993285.1identical	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Gordoniaceae	Gordonia	Gordonia iterans
GCF_000231925.1	1004951	GCF_000231925.1	ASM23192v1	Streptococcus suis ST1 (firmicutes)	1307	Streptococcus suis	GCA_000231925.1GCF_000231925.1identical	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus suis
GCF_000231905.1	1004952	GCF_000231905.1	ASM23190v1	Streptococcus suis D12 (firmicutes)	1307	Streptococcus suis	GCA_000231905.1GCF_000231905.1identical	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus suis
GCF_000600055.1	1004954	GCF_000600055.1	ASM60005v1	Brucella suis bv. 1 str. S2 (a-proteobacteria)	29461	Brucella suis	GCA_000600055.1GCF_000600055.1identical	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Brucellaceae	Brucella	Brucella suis
GCF_000231865.1	1005041	GCF_000231865.1	ASM23186v1	Streptococcus suis SS12 (firmicutes)	1307	Streptococcus suis	GCA_000231865.1GCF_000231865.1identical	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus suis
GCF_000231885.1	1005042	GCF_000231885.1	ASM23188v1	Streptococcus suis D9 (firmicutes)	1307	Streptococcus suis	GCA_000231885.1GCF_000231885.1identical	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus suis
GCF_000221045.1	1005048	GCF_000221045.1	ASM22104v1	Collimonas fungivorans Ter331 (b-proteobacteria)	158899	Collimonas fungivorans	GCA_000221045.1GCF_000221045.1identical	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Collimonas	Collimonas fungivorans
GCF_000225465.1	1005057	GCF_000225465.1	ASM22546v1	Buchnera aphidicola str. Ua (Uroleucon ambrosiae) (enterobacteria)	9	Buchnera aphidicola	GCA_000225465.1GCF_000225465.1identical	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Buchnera	Buchnera aphidicola
GCF_000209675.1	1005058	GCF_000209675.1	ASM20967v1	Gallibacterium anatis UMN179 (g-proteobacteria)	750	Gallibacterium anatis	GCA_000209675.1GCF_000209675.1identical	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Gallibacterium	Gallibacterium anatis
GCF_000225445.1	1005090	GCF_000225445.1	ASM22544v1	Buchnera aphidicola str. Ak (Acyrthosiphon kondoi) (enterobacteria)	9	Buchnera aphidicola	GCA_000225445.1GCF_000225445.1identical	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Buchnera	Buchnera aphidicola
GCF_000225265.1	1006007	GCF_000225265.1	ASM22526v1	Bacillus megaterium WSH-002 (firmicutes)	1404	Bacillus megaterium	GCA_000225265.1GCF_000225265.1identical	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus megaterium
GCF_000204665.1	1006543	GCF_000204665.1	ASM20466v1	Staphylococcus aureus subsp. aureus T0131 (firmicutes)	1280	Staphylococcus aureus	GCA_000204665.1GCF_000204665.1identical	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus aureus
GCF_000240325.1	1006551	GCF_000240325.1	ASM24032v1	Klebsiella michiganensis KCTC 1686 (enterobacteria)	1134687	Klebsiella michiganensis	GCA_000240325.1GCF_000240325.1identical	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella michiganensis
GCF_000241585.2	1006554	GCF_000241585.2	ASM24158v3	Acetobacter pasteurianus NBRC 101655 (a-proteobacteria)	438	Acetobacter pasteurianus	GCA_000241585.3GCF_000241585.2identical	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Acetobacter pasteurianus
GCF_000953715.1	1006576	GCF_000953715.1	DTL3	Defluviitoga tunisiensis (bacteria)	1006576	Defluviitoga tunisiensis	GCA_000953715.1GCF_000953715.1identical	Bacteria	Thermotogae	Thermotogae	Petrotogales	Petrotogaceae	Defluviitoga	Defluviitoga tunisiensis
GCF_000767685.1	1006579	GCF_000767685.1	ASM76768v1	Corynebacterium ulcerans FRC11 (high GC Gram+)	65058	Corynebacterium ulcerans	GCA_000767685.1GCF_000767685.1identical	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	Corynebacterium ulcerans
GCF_000211545.4	1006581	GCF_000211545.4	ASM21154v6	Mycoplasma gallisepticum S6 (mycoplasmas)	2096	Mycoplasma gallisepticum	GCA_000211545.6GCF_000211545.4identical	Bacteria	Tenericutes	Mollicutes	Mycoplasmatales	Mycoplasmataceae	Mycoplasma	Mycoplasma gallisepticum
GCF_000204625.1	1007064	GCF_000204625.1	ASM20462v1	Streptococcus suis ST3 (firmicutes)	1307	Streptococcus suis	GCA_000204625.1GCF_000204625.1identical	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus suis
GCF_000209655.1	1007105	GCF_000209655.1	ASM20965v1	Pusillimonas sp. T7-7 (b-proteobacteria)	1007105	Pusillimonas sp. T7-7	GCA_000209655.1GCF_000209655.1identical	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Pusillimonas	Pusillimonas sp. T7-7
GCF_001050475.1	1007676	GCF_001050475.1	ASM105047v1	Lactobacillus ginsenosidimutans (firmicutes)	1007676	Lactobacillus ginsenosidimutans	GCA_001050475.1GCF_001050475.1identical	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus ginsenosidimutans
GCF_000441815.1	1007870	GCF_000441815.1	ASM44181v1	Chlamydia trachomatis RC-L2/55 (chlamydias)	813	Chlamydia trachomatis	GCA_000441815.1GCF_000441815.1identical	Bacteria	Chlamydiae	Chlamydiia	Chlamydiales	Chlamydiaceae	Chlamydia	Chlamydia trachomatis
GCF_000441795.1	1007871	GCF_000441795.1	ASM44179v1	Chlamydia trachomatis RC-J/971 (chlamydias)	813	Chlamydia trachomatis	GCA_000441795.1GCF_000441795.1identical	Bacteria	Chlamydiae	Chlamydiia	Chlamydiales	Chlamydiaceae	Chlamydia	Chlamydia trachomatis
GCF_000252875.1	1008297	GCF_000252875.1	ASM25287v1	Salmonella enterica subsp. enterica serovar Typhimurium str. 798 (enterobacteria)	28901	Salmonella enterica	GCA_000252875.1GCF_000252875.1identical	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella	Salmonella enterica
GCF_003584725.1	1008298	GCF_003584725.1	ASM358472v1	Mycobacterium leprae Kyoto-2 (high GC Gram+)	1769	Mycobacterium leprae	GCA_003584725.1GCF_003584725.1identical	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium leprae
GCF_000226625.1	1008459	GCF_000226625.1	ASM22662v1	Taylorella asinigenitalis MCE3 (b-proteobacteria)	84590	Taylorella asinigenitalis	GCA_000226625.1GCF_000226625.1identical	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Taylorella	Taylorella asinigenitalis
GCF_000306885.1	100901	GCF_000306885.1	ASM30688v1	Wolbachia endosymbiont of Onchocerca ochengi (a-proteobacteria)	100901	Wolbachia endosymbiont of Onchocerca ochengi	GCA_000306885.1GCF_000306885.1identical	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Anaplasmataceae	Wolbachia	Wolbachia endosymbiont of Onchocerca ochengi
GCF_000213955.1	1009464	GCF_000213955.1	ASM21395v1	Gardnerella vaginalis HMP9231 (high GC Gram+)	2702	Gardnerella vaginalis	GCA_000213955.1GCF_000213955.1identical	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Gardnerella	Gardnerella vaginalis
GCF_000568855.2	1009714	GCF_000568855.2	ASM56885v2	Pseudomonas aeruginosa PAK (g-proteobacteria)	287	Pseudomonas aeruginosa	GCA_000568855.2GCF_000568855.2identical	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas aeruginosa
GCF_000292915.1	1009846	GCF_000292915.1	ASM29291v1	Burkholderia cepacia GG4 (b-proteobacteria)	292	Burkholderia cepacia	GCA_000292915.1GCF_000292915.1identical	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia cepacia
GCF_000521525.1	1009856	GCF_000521525.1	ASM52152v1	Buchnera aphidicola str. USDA (Myzus persicae) (enterobacteria)	9	Buchnera aphidicola	GCA_000521525.1GCF_000521525.1identical	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Buchnera	Buchnera aphidicola
GCF_000521545.1	1009857	GCF_000521545.1	ASM52154v1	Buchnera aphidicola str. W106 (Myzus persicae) (enterobacteria)	9	Buchnera aphidicola	GCA_000521545.1GCF_000521545.1identical	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Buchnera	Buchnera aphidicola
GCF_000521565.1	1009858	GCF_000521565.1	ASM52156v1	Buchnera aphidicola str. G002 (Myzus persicae) (enterobacteria)	9	Buchnera aphidicola	GCA_000521565.1GCF_000521565.1identical	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Buchnera	Buchnera aphidicola
GCF_000521585.1	1009859	GCF_000521585.1	ASM52158v1	Buchnera aphidicola str. F009 (Myzus persicae) (enterobacteria)	9	Buchnera aphidicola	GCA_000521585.1GCF_000521585.1identical	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Buchnera	Buchnera aphidicola
GCF_900187125.1	1010	GCF_900187125.1	50592_G01	Sphingobacterium mizutaii (CFB group bacteria)	1010	Sphingobacterium mizutaii	GCA_900187125.1GCF_900187125.1identical	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Sphingobacteriaceae	Sphingobacterium	Sphingobacterium mizutaii
GCF_000572125.1	1010834	GCF_000572125.1	ASM57212v1	Mycobacterium tuberculosis HKBS1 (high GC Gram+)	1773	Mycobacterium tuberculosis	GCA_000572125.1GCF_000572125.1identical	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium tuberculosis
GCF_000572155.1	1010835	GCF_000572155.1	ASM57215v1	Mycobacterium tuberculosis BT2 (high GC Gram+)	1773	Mycobacterium tuberculosis	GCA_000572155.1GCF_000572155.1identical	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium tuberculosis
GCF_000572175.1	1010836	GCF_000572175.1	ASM57217v1	Mycobacterium tuberculosis BT1 (high GC Gram+)	1773	Mycobacterium tuberculosis	GCA_000572175.1GCF_000572175.1identical	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium tuberculosis
GCF_000250925.1	1010840	GCF_000250925.1	ASM25092v1	Streptococcus pyogenes MGAS1882 (firmicutes)	1314	Streptococcus pyogenes	GCA_000250925.1GCF_000250925.1identical	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus pyogenes
GCF_900637795.1	1014	GCF_900637795.1	52592_H02	Weeksella virosa (CFB group bacteria)	1014	Weeksella virosa	GCA_900637795.1GCF_900637795.1identical	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Weeksella	Weeksella virosa
GCF_000014565.1	101510	GCF_000014565.1	ASM1456v1	Rhodococcus jostii RHA1 (high GC Gram+)	132919	Rhodococcus jostii	GCA_000014565.1GCF_000014565.1identical	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Nocardiaceae	Rhodococcus	Rhodococcus jostii
GCF_001718975.1	101571	GCF_001718975.1	ASM171897v1	Burkholderia ubonensis (b-proteobacteria)	101571	Burkholderia ubonensis	GCA_001718975.1GCF_001718975.1identical	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia ubonensis
GCF_001718355.1	101571	GCF_001718355.1	ASM171835v1	Burkholderia ubonensis (b-proteobacteria)	101571	Burkholderia ubonensis	GCA_001718355.1GCF_001718355.1identical	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia ubonensis
GCF_001718855.1	101571	GCF_001718855.1	ASM171885v1	Burkholderia ubonensis (b-proteobacteria)	101571	Burkholderia ubonensis	GCA_001718855.1GCF_001718855.1identical	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia ubonensis
GCF_001718695.1	101571	GCF_001718695.1	ASM171869v1	Burkholderia ubonensis (b-proteobacteria)	101571	Burkholderia ubonensis	GCA_001718695.1GCF_001718695.1identical	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia ubonensis
GCF_001718655.1	101571	GCF_001718655.1	ASM171865v1	Burkholderia ubonensis (b-proteobacteria)	101571	Burkholderia ubonensis	GCA_001718655.1GCF_001718655.1identical	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia ubonensis
GCF_003454795.1	1016987	GCF_003454795.1	ASM345479v1	Novosphingobium sp. THN1 (a-proteobacteria)	1016987	Novosphingobium sp. THN1	GCA_003454795.1GCF_003454795.1identical	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Novosphingobium	Novosphingobium sp. THN1
GCF_000018705.1	1016998	GCF_000018705.1	ASM1870v1	Salmonella enterica subsp. enterica serovar Paratyphi B str. SPB7 (enterobacteria)	28901	Salmonella enterica	GCA_000018705.1GCF_000018705.1identical	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella	Salmonella enterica
GCF_002302415.1	1017	GCF_002302415.1	ASM230241v1	Capnocytophaga gingivalis (CFB group bacteria)	1017	Capnocytophaga gingivalis	GCA_002302415.1GCF_002302415.1identical	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Capnocytophaga	Capnocytophaga gingivalis
GCF_000212975.1	1017264	GCF_000212975.1	ASM21297v1	Bordetella pertussis CS (b-proteobacteria)	520	Bordetella pertussis	GCA_000212975.1GCF_000212975.1identical	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Bordetella	Bordetella pertussis
GCF_900638125.1	1019	GCF_900638125.1	56080_B02	Capnocytophaga sputigena (CFB group bacteria)	1019	Capnocytophaga sputigena	GCA_900638125.1GCF_900638125.1identical	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Capnocytophaga	Capnocytophaga sputigena
GCF_002302395.1	1019	GCF_002302395.1	ASM230239v1	Capnocytophaga sputigena (CFB group bacteria)	1019	Capnocytophaga sputigena	GCA_002302395.1GCF_002302395.1identical	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Capnocytophaga	Capnocytophaga sputigena
GCF_002302495.1	1019	GCF_002302495.1	ASM230249v1	Capnocytophaga sputigena (CFB group bacteria)	1019	Capnocytophaga sputigena	GCA_002302495.1GCF_002302495.1identical	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Capnocytophaga	Capnocytophaga sputigena
GCF_002302595.1	1019	GCF_002302595.1	ASM230259v1	Capnocytophaga sputigena (CFB group bacteria)	1019	Capnocytophaga sputigena	GCA_002302595.1GCF_002302595.1identical	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Capnocytophaga	Capnocytophaga sputigena
GCF_000270045.1	102608	GCF_000270045.1	ASM27004v1	Helicobacter pylori F32 (e-proteobacteria)	210	Helicobacter pylori	GCA_000270045.1GCF_000270045.1identical	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter	Helicobacter pylori
GCF_000685625.1	102611	GCF_000685625.1	ASM68562v1	Helicobacter pylori J166 (e-proteobacteria)	210	Helicobacter pylori	GCA_000685625.1GCF_000685625.1identical	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter	Helicobacter pylori
GCF_002005525.1	102617	GCF_002005525.1	ASM200552v1	Helicobacter pylori SS1 (e-proteobacteria)	210	Helicobacter pylori	GCA_002005525.1GCF_002005525.1identical	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter	Helicobacter pylori
GCF_900478295.1	102618	GCF_900478295.1	35377_D02	Helicobacter pylori NCTC 11637 = CCUG 17874 = ATCC 43504 (e-proteobacteria)	210	Helicobacter pylori	GCA_900478295.1GCF_900478295.1identical	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter	Helicobacter pylori
GCF_001477615.1	102684	GCF_001477615.1	ASM147761v1	Streptococcus infantarius (firmicutes)	102684	Streptococcus infantarius	GCA_001477615.1GCF_001477615.1identical	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus infantarius
GCF_000215745.1	1028307	GCF_000215745.1	ASM21574v1	Klebsiella aerogenes KCTC 2190 (enterobacteria)	548	Klebsiella aerogenes	GCA_000215745.1GCF_000215745.1identical	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella aerogenes
GCF_900168255.1	1028416	GCF_900168255.1	B431	Psychrobacter sp. DAB_AL43B (g-proteobacteria)	1028416	Psychrobacter sp. DAB_AL43B	GCA_900168255.1GCF_900168255.1identical	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Psychrobacter	Psychrobacter sp. DAB_AL43B
GCF_000245495.1	1028799	GCF_000245495.1	ASM24549v1	Staphylococcus aureus subsp. aureus VC40 (firmicutes)	1280	Staphylococcus aureus	GCA_000245495.1GCF_000245495.1identical	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus aureus
GCF_000731315.1	1028800	GCF_000731315.1	RG540_Ch_pA	Neorhizobium galegae bv. orientalis str. HAMBI 540 (a-proteobacteria)	399	Neorhizobium galegae	GCA_000731315.1GCF_000731315.1identical	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Neorhizobium	Neorhizobium galegae
GCF_000731295.1	1028801	GCF_000731295.1	RG1141_Ch_pA_pB	Neorhizobium galegae bv. officinalis bv. officinalis str. HAMBI 1141 (a-proteobacteria)	399	Neorhizobium galegae	GCA_000731295.1GCF_000731295.1identical	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Neorhizobium	Neorhizobium galegae
GCF_000829415.1	1028989	GCF_000829415.1	ASM82941v1	Pseudomonas sp. StFLB209 (g-proteobacteria)	1028989	Pseudomonas sp. StFLB209	GCA_000829415.1GCF_000829415.1identical	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas sp. StFLB209
GCF_000270205.1	1029718	GCF_000270205.1	ASM27020v1	Candidatus Arthromitus sp. SFB-mouse-Japan (segmented filamentous bacteria)	49118	Candidatus Arthromitus sp. SFB-mouse	GCA_000270205.1GCF_000270205.1identical	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Candidatus Arthromitus	Candidatus Arthromitus sp. SFB-mouse
GCF_000503895.1	1029756	GCF_000503895.1	ASM50389v1	Hyphomicrobium nitrativorans NL23 (a-proteobacteria)	1427356	Hyphomicrobium nitrativorans	GCA_000503895.1GCF_000503895.1identical	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Hyphomicrobium	Hyphomicrobium nitrativorans
GCF_000227645.1	1029825	GCF_000227645.1	ASM22764v1	Brucella melitensis NI (a-proteobacteria)	29459	Brucella melitensis	GCA_000227645.1GCF_000227645.1identical	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Brucellaceae	Brucella	Brucella melitensis
