Modeling	Genome	Element	Carrying_capacity	Rate	Initial_cost	AIC_Uniform	AIC_Linear	AIC_Exponential	BIC_Uniform	BIC_Linear	BIC_Exponential	P_Carrying_capacity	P_Rate	P_Initial_cost
Unsuccessful	GCF_000003855.2_BD_SLH14081_V1	Hydrogen bonds	7.55928180444629	NA	7.49197406186882	-396.879705542768	-422.53910469262	NA	-391.689465842499	-414.753745142216	NA	NA	NA	NA
Successful	GCF_000004155.1_SCY4	Hydrogen bonds	7.24462003235108	0.0671945612212777	7.18245118150881	-459.929850570382	-486.385076588942	-492.576938660458	-454.739610870113	-478.599717038538	-482.19645925992	2.53129826520284e-230	0.003464120582825	1.28565934490328e-169
Unsuccessful	GCF_000006275.2_JCVI-afl1-v2.0	Hydrogen bonds	7.57976976063417	NA	7.48154981549815	-436.386932089835	-447.608576309306	NA	-431.196692389566	-439.823216758902	NA	NA	NA	NA
Unsuccessful	GCF_000006335.3_ASM633v3	Hydrogen bonds	7.02608737313647	NA	6.98181522974509	-430.356225576502	-487.919960118015	NA	-425.165985876233	-480.134600567612	NA	NA	NA	NA
Successful	GCF_000006445.2_ASM644v2	Hydrogen bonds	7.15633575695383	0.161938438883507	7.07608682025695	-429.989843977323	-435.765227704231	-441.908479649316	-424.799604277054	-427.979868153828	-431.528000248777	9.41556384041533e-232	0.0463686023652195	7.35725245610367e-130
Unsuccessful	GCF_000026365.1_ASM2636v1	Hydrogen bonds	7.21433471550568	NA	7.17212945784374	-411.153860392276	-459.046191800798	NA	-405.963620692007	-451.260832250394	NA	NA	NA	NA
Successful	GCF_000026945.1_ASM2694v1	Hydrogen bonds	7.0793851180383	-0.0200013955911381	7.0730585940308	-436.894743596673	-452.564169693512	-453.530172728769	-431.704503896404	-444.778810143108	-443.149693328231	2.73615357323532e-155	0.272150004636384	4.97716357748559e-202
Successful	GCF_000027005.1_ASM2700v1	Hydrogen bonds	7.3388028589997	-0.00997979352532103	7.31071821574613	-418.260560614801	-440.589222472917	-439.57582246787	-413.070320914532	-432.803862922513	-429.195343067332	7.95460111745866e-99	0.51126428230897	4.44758198437671e-195
Successful	GCF_000091025.4_ASM9102v4	Hydrogen bonds	7.74685306798431	0.0580865242336789	7.48674702783882	-258.985927996144	-360.096817387278	-416.193547270183	-253.795688295874	-352.311457836874	-405.813067869645	1.63431575273304e-212	7.76835271329109e-14	1.52379697385106e-159
Unsuccessful	GCF_000091045.1_ASM9104v1	Hydrogen bonds	7.56358202097813	NA	7.51162790697674	-323.537219884483	-431.466112489274	NA	-318.346980184214	-423.68075293887	NA	NA	NA	NA
Unsuccessful	GCF_000091225.1_ASM9122v1	Hydrogen bonds	7.43749843254947	NA	7.33095359510454	-398.851634174873	-404.707440018052	NA	-393.661394474604	-396.922080467649	NA	NA	NA	NA
Successful	GCF_000142805.1_ASM14280v1	Hydrogen bonds	7.52569151978942	0.112857059812041	7.37916118423384	-396.32019653188	-429.888852951571	-472.469897582896	-391.129956831611	-422.103493401167	-462.089418182358	5.17097533884264e-237	6.54799086615749e-07	1.36669771941893e-151
Successful	GCF_000143105.1_Sanger-454-IlluminaPA_2.0	Hydrogen bonds	7.80290086391712	0.216926839017503	7.72316747115888	-397.877525825073	-396.73480812405	-400.977279674756	-392.687286124804	-388.949448573647	-390.596800274218	1.98796010192892e-228	0.189866022654682	3.58953388527264e-112
Unsuccessful	GCF_000143185.1_v1.0	Hydrogen bonds	7.79376037786507	NA	7.72579106376212	-503.131166719034	-506.218565717422	NA	-497.940927018765	-498.433206167018	NA	NA	NA	NA
Unsuccessful	GCF_000143365.1_ASM14336v1	Hydrogen bonds	7.78795162611238	NA	7.64390104116917	-398.556281745795	-396.798010248987	NA	-393.366042045526	-389.012650698583	NA	NA	NA	NA
Unsuccessful	GCF_000143535.2_ASM14353v4	Hydrogen bonds	7.4091420909864	NA	7.3032184778493	-397.114963061579	-410.214425813948	NA	-391.92472336131	-402.429066263544	NA	NA	NA	NA
Unsuccessful	GCF_000143565.1_V1.0	Hydrogen bonds	7.52651357352521	NA	7.49241136091693	-540.915372254812	-548.996726384885	NA	-535.725132554543	-541.211366834481	NA	NA	NA	NA
Successful	GCF_000145635.1_Gae_graminis_V2	Hydrogen bonds	7.88748951024382	0.197299625263132	7.76588218343365	-410.437223071319	-416.616361585499	-430.080303343073	-405.24698337105	-408.831002035096	-419.699823942535	1.6015950205388e-234	0.0136084565752771	4.50644480083353e-123
Unsuccessful	GCF_000146045.2_R64	Hydrogen bonds	7.23590325105913	NA	7.13026685393258	-421.822639002276	-420.783689400862	NA	-416.632399302007	-412.998329850459	NA	NA	NA	NA
Unsuccessful	GCF_000146465.1_ASM14646v1	Hydrogen bonds	7.27139946281374	NA	7.15875706214689	-436.848421329644	-436.12946394607	NA	-431.658181629375	-428.344104395667	NA	NA	NA	NA
Unsuccessful	GCF_000146915.1_ASM14691v2	Hydrogen bonds	7.65027441716181	NA	7.54868995633188	-438.051954910198	-449.55798161802	NA	-432.861715209929	-441.772622067616	NA	NA	NA	NA
Unsuccessful	GCF_000146945.2_ASM14694v2	Hydrogen bonds	7.37908669970725	NA	7.29988257609972	-414.991676626385	-428.718208676281	NA	-409.801436926115	-420.932849125877	NA	NA	NA	NA
Unsuccessful	GCF_000149035.1_C_graminicola_M1_001_V1	Hydrogen bonds	7.76499650404202	NA	7.60054635178005	-393.29458668886	-391.567457042552	NA	-388.104346988591	-383.782097492148	NA	NA	NA	NA
Unsuccessful	GCF_000149205.2_ASM14920v2	Hydrogen bonds	7.62353424719563	NA	7.53904175077021	-395.557320691479	-417.929771389737	NA	-390.36708099121	-410.144411839333	NA	NA	NA	NA
Unsuccessful	GCF_000149245.1_CNA3	Hydrogen bonds	7.54916095435156	NA	7.5012574454004	-340.801093581178	-433.869081507802	NA	-335.610853880909	-426.083721957398	NA	NA	NA	NA
Unsuccessful	GCF_000149335.2_ASM14933v2	Hydrogen bonds	7.56171920930468	NA	7.48983718207939	-407.724672528432	-446.907390215113	NA	-402.534432828163	-439.122030664709	NA	NA	NA	NA
Unsuccessful	GCF_000149385.1_ASM14938v1	Hydrogen bonds	7.56622161262077	NA	7.52068539672738	-333.747153383362	-447.261179991343	NA	-328.556913683093	-439.47582044094	NA	NA	NA	NA
Unsuccessful	GCF_000149425.1_ASM14942v1	Hydrogen bonds	7.34484767466404	NA	7.29665236051502	-329.921786135154	-361.777069652305	NA	-324.731546434885	-353.991710101901	NA	NA	NA	NA
Unsuccessful	GCF_000149555.1_ASM14955v1	Hydrogen bonds	7.56665372557369	NA	7.45724471606825	-381.386877863758	-401.164601533395	NA	-376.196638163489	-393.379241982992	NA	NA	NA	NA
Unsuccessful	GCF_000149585.1_ASM14958v1	Hydrogen bonds	7.55040871934605	NA	7.51700035540813	-402.835614576642	-432.796772717505	NA	-397.645374876373	-425.011413167101	NA	NA	NA	NA
Unsuccessful	GCF_000149615.1_ASM14961v1	Hydrogen bonds	7.70978493221992	NA	7.57957521093977	-419.785407520157	-418.265400010467	NA	-414.595167819888	-410.480040460063	NA	NA	NA	NA
Unsuccessful	GCF_000149645.1_ASM14964v1	Hydrogen bonds	7.6288025677723	NA	7.48940803801228	-411.231088692565	-409.502636329481	NA	-406.040848992296	-401.717276779078	NA	NA	NA	NA
Unsuccessful	GCF_000149685.1_ASM14968v1	Hydrogen bonds	7.23163486706158	NA	7.14460784313725	-455.163529310124	-459.992593921804	NA	-449.973289609855	-452.2072343714	NA	NA	NA	NA
Successful	GCF_000149845.2_SJ5	Hydrogen bonds	7.36923234467356	0.161245489655664	7.27785170828807	-432.586789474504	-440.616433500875	-450.570215219959	-427.396549774234	-432.831073950472	-440.18973581942	9.09587489214113e-235	0.0179090486341334	4.53257682993108e-133
Unsuccessful	GCF_000149925.1_ASM14992v1	Hydrogen bonds	7.50941236495929	NA	7.43173207036536	-528.336557606041	-532.132503774402	NA	-523.146317905772	-524.347144223999	NA	NA	NA	NA
Unsuccessful	GCF_000149955.1_ASM14995v2	Hydrogen bonds	7.55720845907345	NA	7.45842892176252	-405.148118471136	-422.967347430725	NA	-399.957878770867	-415.181987880321	NA	NA	NA	NA
Unsuccessful	GCF_000149985.1_ASM14998v1	Hydrogen bonds	7.63022489423936	NA	7.51567052176216	-384.85648016014	-412.822989722204	NA	-379.666240459871	-405.0376301718	NA	NA	NA	NA
Unsuccessful	GCF_000150035.1_ASM15003v1	Hydrogen bonds	7.05418415496595	NA	7.01139876352396	-433.703600576529	-485.130030975105	NA	-428.51336087626	-477.344671424701	NA	NA	NA	NA
Successful	GCF_000150505.1_SO6	Hydrogen bonds	7.23777313426237	0.0883482997734312	7.18120452127236	-458.079448694678	-469.549298735662	-475.867649534448	-452.889208994408	-461.763939185258	-465.487170133909	1.15653667034098e-232	0.0223689688573138	1.66234266725197e-158
Unsuccessful	GCF_000150675.1_ASM15067v2	Hydrogen bonds	7.78800957847954	NA	7.65336072791312	-401.899774345976	-400.021241481437	NA	-396.709534645707	-392.235881931033	NA	NA	NA	NA
Unsuccessful	GCF_000150705.2_Paracocci_br_Pb01_V2	Hydrogen bonds	7.53446642358818	NA	7.48648986740055	-397.908414740237	-437.456446694887	NA	-392.718175039968	-429.671087144483	NA	NA	NA	NA
Unsuccessful	GCF_000150735.1_Paracocci_br_Pb18_V2	Hydrogen bonds	7.54349099036298	NA	7.48986000261677	-398.260114607339	-437.006691771619	NA	-393.06987490707	-429.221332221216	NA	NA	NA	NA
Unsuccessful	GCF_000150825.1_ASM15082v1	Hydrogen bonds	7.77644957062412	NA	7.65182474331605	-407.413335084233	-406.344296505392	NA	-402.223095383964	-398.558936954989	NA	NA	NA	NA
Unsuccessful	GCF_000150975.2_MS_CBS118893	Hydrogen bonds	7.58203357164702	NA	7.49853338026517	-356.628950944822	-402.622999653801	NA	-351.438711244553	-394.837640103397	NA	NA	NA	NA
Unsuccessful	GCF_000151125.1_ASM15112v2	Hydrogen bonds	7.57463928848769	NA	7.5022245485475	-420.058136334448	-464.788273148833	NA	-414.867896634179	-457.002913598429	NA	NA	NA	NA
Unsuccessful	GCF_000151145.1_ASM15114v1	Hydrogen bonds	7.55768399990905	NA	7.4839343504392	-380.456627388257	-411.091241276162	NA	-375.266387687987	-403.305881725759	NA	NA	NA	NA
Unsuccessful	GCF_000151335.2_JCVI-cpa1-1.0	Hydrogen bonds	7.5752897266069	NA	7.49599212487695	-363.282938319048	-414.581437418968	NA	-358.092698618779	-406.796077868564	NA	NA	NA	NA
Unsuccessful	GCF_000151355.1_v2.0	Hydrogen bonds	7.65577153416701	NA	7.539175856065	-375.973098444881	-401.690916328336	NA	-370.782858744612	-393.905556777932	NA	NA	NA	NA
Unsuccessful	GCF_000151425.1_ASM15142v1	Hydrogen bonds	7.58449158013022	NA	7.50534759358289	-350.139240192606	-403.743838182772	NA	-344.949000492337	-395.958478632368	NA	NA	NA	NA
Unsuccessful	GCF_000151505.1_ASM15150v1	Hydrogen bonds	7.57316360552062	NA	7.49503657262278	-430.624085527133	-474.511321130749	NA	-425.433845826864	-466.725961580345	NA	NA	NA	NA
Unsuccessful	GCF_000151645.1_ASM15164v1	Hydrogen bonds	7.57189714295328	NA	7.49216631515517	-449.369139860816	-463.014587436666	NA	-444.178900160547	-455.229227886263	NA	NA	NA	NA
Unsuccessful	GCF_000167675.1_v2.0	Hydrogen bonds	7.78617036646484	NA	7.64965090992331	-406.999234539767	-413.08681974071	NA	-401.808994839498	-405.301460190307	NA	NA	NA	NA
Unsuccessful	GCF_000170995.1_TRIVI_v2.0	Hydrogen bonds	7.62705847210196	NA	7.51482072382232	-383.441043038768	-409.059333354429	NA	-378.250803338499	-401.273973804026	NA	NA	NA	NA
Unsuccessful	GCF_000171015.1_TRIAT_v2.0	Hydrogen bonds	7.65082086590086	NA	7.52503185872929	-380.998392914763	-398.936404489602	NA	-375.808153214494	-391.151044939198	NA	NA	NA	NA
Unsuccessful	GCF_000181695.1_ASM18169v1	Hydrogen bonds	7.57821196637284	NA	7.52843544056627	-443.570376133829	-490.49804219761	NA	-438.38013643356	-482.712682647207	NA	NA	NA	NA
Unsuccessful	GCF_000182565.1_S_punctatus_V1	Hydrogen bonds	7.51270611263214	NA	7.47349670733024	-389.82141890711	-464.66715305802	NA	-384.631179206841	-456.881793507616	NA	NA	NA	NA
Unsuccessful	GCF_000182805.2_ASM18280v2	Hydrogen bonds	7.70776169655054	NA	7.54697674418605	-371.511344009437	-380.150886905508	NA	-366.321104309168	-372.365527355104	NA	NA	NA	NA
Unsuccessful	GCF_000182895.1_CC3	Hydrogen bonds	7.61835795252218	NA	7.53813223402569	-460.738838226004	-474.952676462951	NA	-455.548598525734	-467.167316912547	NA	NA	NA	NA
Unsuccessful	GCF_000182925.2_NC12	Hydrogen bonds	7.69983939068842	NA	7.55223880597015	-384.134873016737	-389.482041780312	NA	-378.944633316468	-381.696682229909	NA	NA	NA	NA
Successful	GCF_000182965.3_ASM18296v3	Hydrogen bonds	7.08244745243516	-0.0178920768888728	7.07655006563121	-444.506230354423	-452.311919682676	-451.896594633848	-439.315990654154	-444.526560132272	-441.516115233309	1.50926243065307e-146	0.467962802535051	1.34581089611302e-200
Unsuccessful	GCF_000184455.2_ASM18445v3	Hydrogen bonds	7.5728105643613	NA	7.4817790293192	-434.141923479209	-442.684416210262	NA	-428.95168377894	-434.899056659858	NA	NA	NA	NA
Unsuccessful	GCF_000185945.1_ASM18594v1	Hydrogen bonds	7.54711002866968	NA	7.50721420643729	-337.608894274096	-429.723703470813	NA	-332.418654573827	-421.93834392041	NA	NA	NA	NA
Unsuccessful	GCF_000187245.1_Hansenula_2	Hydrogen bonds	7.48780931986524	NA	7.3531890442444	-344.025676997802	-346.561645718993	NA	-338.835437297533	-338.776286168589	NA	NA	NA	NA
Unsuccessful	GCF_000187405.1_MetAcr_May2010	Hydrogen bonds	7.65573431083053	NA	7.57412008281574	-393.793849609338	-421.784049342772	NA	-388.603609909069	-413.998689792368	NA	NA	NA	NA
Unsuccessful	GCF_000187425.2_MAA_2.0	Hydrogen bonds	7.66340869109933	NA	7.56865841888216	-386.136297582095	-403.263597310827	NA	-380.946057881826	-395.478237760423	NA	NA	NA	NA
Successful	GCF_000192795.1_Vavr_culi_floridensis_V1	Hydrogen bonds	7.29233859124356	0.0628902145660267	7.1430225578742	-362.132640195864	-429.544989896911	-478.656293756968	-356.942400495595	-421.759630346508	-468.275814356429	9.70488998717557e-226	8.7784262686523e-10	1.83420946098399e-168
Successful	GCF_000203795.1_v1.0	Hydrogen bonds	7.30716013165416	-0.0229422303879888	7.30346229730395	-484.779469654617	-501.548796291147	-502.973401712138	-479.589229954348	-493.763436740743	-492.592922311599	3.37880491294055e-177	0.201638660402906	2.38141244509297e-215
Successful	GCF_000204055.1_v1.0	Hydrogen bonds	7.32576319816245	-0.0232302021568409	7.32436491714451	-575.305857601955	-579.304131455233	-579.20512426696	-570.115617901685	-571.518771904829	-568.824644866421	2.42117863463641e-194	0.457244383203209	1.06046139500391e-231
Unsuccessful	GCF_000209165.1_ASM20916v1	Hydrogen bonds	7.32604126366361	NA	7.28337442761536	-343.710263675745	-412.162605041645	NA	-338.520023975476	-404.377245491242	NA	NA	NA	NA
Unsuccessful	GCF_000213175.1_v2.0	Hydrogen bonds	7.69985537820116	NA	7.55487871206353	-385.075814168516	-394.811887763382	NA	-379.885574468247	-387.026528212978	NA	NA	NA	NA
Unsuccessful	GCF_000218685.1_v1.0	Hydrogen bonds	7.47364431551337	NA	7.42616318273769	-503.317838997687	-518.819651051185	NA	-498.127599297418	-511.034291500782	NA	NA	NA	NA
Unsuccessful	GCF_000219625.1_MYCGR_v2.0	Hydrogen bonds	7.67672782396057	NA	7.59714588757111	-385.022054647872	-424.89413922247	NA	-379.831814947603	-417.108779672066	NA	NA	NA	NA
Unsuccessful	GCF_000221225.1_CTHT_3.0	Hydrogen bonds	7.73109271030817	NA	7.59948979591837	-358.311324214889	-379.754066265566	NA	-353.12108451462	-371.968706715162	NA	NA	NA	NA
Successful	GCF_000223465.1_Candida_tenuis_v1.0	Hydrogen bonds	7.38122683429992	-0.0178111514888833	7.37259398777864	-316.912961429435	-320.703303207044	-319.329465127452	-311.722721729165	-312.917943656641	-308.948985726913	5.48436893274945e-120	0.591943339825024	2.47257138552321e-174
Unsuccessful	GCF_000223485.1_Spathaspora_passalidarum_v2.0	Hydrogen bonds	7.2092565792674	NA	7.10738130563798	-412.11025129342	-418.950844190498	NA	-406.92001159315	-411.165484640095	NA	NA	NA	NA
Unsuccessful	GCF_000225545.1_AOL24927_1.0	Hydrogen bonds	7.48427444924609	NA	7.43230659025788	-326.260022942923	-401.010729508099	NA	-321.069783242654	-393.225369957695	NA	NA	NA	NA
Successful	GCF_000225605.1_CmilitarisCM01_v01	Hydrogen bonds	7.84627444390595	0.004975917716068	7.78307861031166	-391.343425407291	-393.932154082504	-391.936424636314	-386.153185707022	-386.146794532101	-381.555945235775	4.40348849538591e-38	0.892912819102061	7.21905129634278e-180
Unsuccessful	GCF_000226095.1_ASM22609v1	Hydrogen bonds	7.84412603991887	NA	7.68107337924484	-407.218642683047	-408.058132711212	NA	-402.028402982778	-400.272773160808	NA	NA	NA	NA
Unsuccessful	GCF_000226115.1_ASM22611v1	Hydrogen bonds	7.89961882853423	NA	7.76164775856372	-417.807207793629	-415.8076986024	NA	-412.61696809336	-408.022339051997	NA	NA	NA	NA
Unsuccessful	GCF_000226395.1_PenChr_Nov2007	Hydrogen bonds	7.58929479586189	NA	7.46953231908557	-412.760105143329	-414.595202454024	NA	-407.56986544306	-406.80984290362	NA	NA	NA	NA
Unsuccessful	GCF_000226545.1_ASM22654v1	Hydrogen bonds	7.6959212011596	NA	7.55633802816901	-412.353499238821	-419.83399693108	NA	-407.163259538552	-412.048637380676	NA	NA	NA	NA
Unsuccessful	GCF_000227115.2_ASM22711v2	Hydrogen bonds	7.0780905191561	NA	7.03255208333333	-403.120986371018	-470.94388939503	NA	-397.930746670749	-463.158529844626	NA	NA	NA	NA
Unsuccessful	GCF_000230375.1_ASM23037v1	Hydrogen bonds	7.64633852083496	NA	7.57432498294181	-452.718892710381	-466.274718340945	NA	-447.528653010112	-458.489358790541	NA	NA	NA	NA
Unsuccessful	GCF_000230625.1_Exop_derm_V1	Hydrogen bonds	7.63333484382135	NA	7.5597490963215	-386.804898105843	-416.722611167201	NA	-381.614658405574	-408.937251616797	NA	NA	NA	NA
Unsuccessful	GCF_000231115.1_Vitt_corn_V1	Hydrogen bonds	7.16282941024567	NA	7.11105904404873	-449.806268048554	-447.817973399494	NA	-444.616028348285	-440.03261384909	NA	NA	NA	NA
Successful	GCF_000235365.1_ASM23536v1	Hydrogen bonds	7.28735448828175	0.174002521612818	7.18336128127201	-432.935671168632	-435.141285895054	-455.257087956005	-427.745431468362	-427.35592634465	-444.876608555466	8.58970593162258e-236	0.00893134357770619	1.77045453823201e-130
Successful	GCF_000236905.1_ASM23690v1	Hydrogen bonds	7.12445649025705	-0.0104301393390795	7.10407789856677	-436.777697050321	-452.076183022201	-450.692342347654	-431.587457350052	-444.290823471798	-440.311862947116	1.32166846821692e-103	0.571805856320459	1.74989887046745e-196
Successful	GCF_000237345.1_ASM23734v1	Hydrogen bonds	7.25469074715622	-0.0168365016892566	7.23364038820343	-366.015060127185	-423.170965480735	-426.276794540994	-360.824820426916	-415.385605930331	-415.896315140456	4.62280227863399e-137	0.0615009478785499	1.88225563179382e-195
Unsuccessful	GCF_000240135.3_ASM24013v3	Hydrogen bonds	7.55859357272163	NA	7.43725007689942	-383.515987114639	-398.846203753445	NA	-378.32574741437	-391.060844203041	NA	NA	NA	NA
Unsuccessful	GCF_000243375.1_ASM24337v1	Hydrogen bonds	7.30017077947526	NA	7.24192540112523	-408.239486499607	-451.297710104058	NA	-403.049246799338	-443.512350553655	NA	NA	NA	NA
Successful	GCF_000250985.1_Nema_parisii_ERTm1_V3	Hydrogen bonds	7.11320555650602	0.0488048923529878	7.06537015187738	-464.797804227765	-480.543756627015	-487.514122885124	-459.607564527496	-472.758397076611	-477.133643484585	1.35454745101367e-217	0.0258830836029005	3.30726512626058e-175
Successful	GCF_000263375.1_Wallemia_sebi_v1.0	Hydrogen bonds	7.27711649172504	0.0688080007819155	7.18622468583552	-428.856510570635	-461.572183201843	-488.693937136051	-423.666270870366	-453.786823651439	-478.313457735513	2.70148043892635e-230	4.34893393912892e-05	2.49901896973407e-168
Unsuccessful	GCF_000264905.1_Stehi1	Hydrogen bonds	7.61672653152537	NA	7.55344958301744	-512.49163535851	-523.257076191274	NA	-507.301395658241	-515.471716640871	NA	NA	NA	NA
Unsuccessful	GCF_000264995.1_Punctularia_strigosozonata_v1.0	Hydrogen bonds	7.72712948373343	NA	7.66780980628418	-505.58658402233	-523.44346267014	NA	-500.39634432206	-515.658103119736	NA	NA	NA	NA
Unsuccessful	GCF_000271585.1_Trametes_versicolor_v1.0	Hydrogen bonds	7.78751900025251	NA	7.69873150105708	-512.681657654434	-512.629497186075	NA	-507.491417954165	-504.844137635671	NA	NA	NA	NA
Unsuccessful	GCF_000271605.1_Fomme1	Hydrogen bonds	7.51341646906831	NA	7.48005766458433	-453.19995582903	-499.953336497358	NA	-448.009716128761	-492.167976946954	NA	NA	NA	NA
Successful	GCF_000271625.1_Conpu1	Hydrogen bonds	7.68986314255805	-0.00774751480105587	7.68250779648938	-536.658408990828	-537.036172497422	-535.097178531197	-531.468169290559	-529.250812947018	-524.716699130659	1.42436756846575e-100	0.880233811495108	3.90823322492022e-216
Unsuccessful	GCF_000271645.1_Treme1	Hydrogen bonds	7.44851811960702	NA	7.40931801149138	-440.477142900188	-484.686667936853	NA	-435.286903199918	-476.901308386449	NA	NA	NA	NA
Unsuccessful	GCF_000275845.1_Dichomitus_squalens_v1.0	Hydrogen bonds	7.7309145362579	NA	7.65783153962466	-514.154707959009	-515.66808906759	NA	-508.96446825874	-507.882729517186	NA	NA	NA	NA
Successful	GCF_000277815.2_ASM27781v3	Hydrogen bonds	7.33770962077583	0.152863692955207	7.16219927674542	-368.795937411567	-371.076253689336	-418.447830672454	-363.605697711298	-363.290894138932	-408.067351271916	1.99728787645924e-227	8.88853063884353e-05	3.19195170173264e-128
Successful	GCF_000280035.1_ASM28003v2	Hydrogen bonds	7.2485992917238	0.162220386508452	7.13753613472631	-417.644175611161	-415.684255542492	-442.335983249948	-412.453935910892	-407.898895992088	-431.95550384941	2.1970410664889e-232	0.00616117688827424	2.08765511996488e-130
Unsuccessful	GCF_000280675.1_ASM28067v1	Hydrogen bonds	7.73134155586895	NA	7.58707110890104	-391.824987685529	-390.326026426746	NA	-386.63474798526	-382.540666876343	NA	NA	NA	NA
Unsuccessful	GCF_000281105.1_Coni_apol_CBS100218_V1	Hydrogen bonds	7.72290884111935	NA	7.61367919299412	-425.244140744492	-427.554080306504	NA	-420.053901044223	-419.7687207561	NA	NA	NA	NA
Unsuccessful	GCF_000293215.1_Trichosporon_asahii_1	Hydrogen bonds	7.85635080952139	NA	7.80433436532508	-435.20283288135	-472.605688413567	NA	-430.012593181081	-464.820328863163	NA	NA	NA	NA
Unsuccessful	GCF_000298775.1_ASM29877v1	Hydrogen bonds	7.64695293430745	NA	7.53842228798857	-443.692513453093	-442.78269916008	NA	-438.502273752824	-434.997339609677	NA	NA	NA	NA
Unsuccessful	GCF_000300555.1_Agabi_varbur_1	Hydrogen bonds	7.50679342315523	NA	7.4632360217714	-402.01637350789	-493.81447721305	NA	-396.826133807621	-486.029117662646	NA	NA	NA	NA
Unsuccessful	GCF_000300575.1_Agabi_varbisH97_2	Hydrogen bonds	7.50580455246294	NA	7.45693156962816	-398.734154875067	-502.38140150035	NA	-393.543915174797	-494.596041949946	NA	NA	NA	NA
Unsuccessful	GCF_000300595.1_Phanerochaete_carnosa_HHB-10118-Sp_v1.0	Hydrogen bonds	7.6803406102175	NA	7.63462325124765	-537.394583572599	-548.289725571848	NA	-532.204343872329	-540.504366021444	NA	NA	NA	NA
Unsuccessful	GCF_000303195.2_FP7	Hydrogen bonds	7.56994132595288	NA	7.43156199677939	-356.661613634384	-371.470045206195	NA	-351.471373934115	-363.684685655791	NA	NA	NA	NA
Unsuccessful	GCF_000304475.1_Ka_CBS2517	Hydrogen bonds	7.13971739979909	NA	7.09178003448937	-407.27336624437	-465.041158358544	NA	-402.0831265441	-457.25579880814	NA	NA	NA	NA
Unsuccessful	GCF_000313485.1_ASM31348v1	Hydrogen bonds	6.9626326307097	NA	6.88997108507077	-254.814862633747	-373.005292987374	NA	-249.624622933478	-365.21993343697	NA	NA	NA	NA
Unsuccessful	GCF_000313525.1_ASM31352v1	Hydrogen bonds	7.62415206331261	NA	7.59108439201452	-473.692848406791	-515.861226619375	NA	-468.502608706522	-508.075867068971	NA	NA	NA	NA
