Genome	No_of_CDSs	Length_total	Length_mean	Length_median	Length_sd	GC_mean	GC_median	GC_sd	GC1_mean	GC1_median	GC1_sd	GC2_mean	GC2_median	GC2_sd	GC3_mean	GC3_median	GC3_sd
GCF_000009965.1_ASM996v1	2275	1911945	840.415384615385	717	578.703382074616	0.524167049276423	0.530555555555556	0.0433127768208138	0.554345091477183	0.558558558558559	0.0500398952573759	0.364252301273757	0.364532019704433	0.0522052731528681	0.653904910301366	0.665573770491803	0.0908479582301199
GCF_000011005.1_ASM1100v1	2975	2564308	861.952268907563	744	563.42387335824	0.567129135386709	0.579100992410975	0.0598466851992117	0.555432065152076	0.560606060606061	0.0574756087831918	0.395711004032311	0.392927308447937	0.0627768192260927	0.750244724397593	0.775193798449612	0.120263776139923
GCF_000011085.1_ASM1108v1	4260	3670435	861.604460093897	738	593.148285500728	0.617476688374956	0.625409853688952	0.046761269015257	0.670250501894469	0.674777014760439	0.0570393013325128	0.440110555111021	0.439252336448598	0.0585296789665264	0.74206995308527	0.761261261261261	0.0918225819797396
GCF_000011105.1_ASM1110v1	1852	1612572	870.719222462203	765	623.458406515309	0.418594020682655	0.419877417903734	0.0329912610033242	0.488216930160843	0.49	0.0511455557847282	0.342307117772804	0.3426682351916	0.0507608922995606	0.42525953138595	0.420859163231811	0.0646021076559426
GCF_000011185.1_ASM1118v1	1578	1383476	876.727503168568	757.5	599.961572869211	0.406788175828895	0.410768500948767	0.0377903963212019	0.462721362005662	0.467221779364364	0.0533408349739617	0.348738998886058	0.350057208237986	0.048955113388082	0.408903972135616	0.408119094704461	0.0639154906459844
GCF_000011205.1_ASM1120v1	2900	2326253	802.156206896552	678	537.75160559487	0.332079361677343	0.330649483110327	0.0397745933858006	0.422396370892568	0.426061229740159	0.0550656110228036	0.319716236028957	0.31979476064915	0.0569230515456139	0.254125325178941	0.237037037037037	0.0752818584255357
GCF_000011585.1_ASM1158v1	1728	1478169	855.421875	753	535.334799621372	0.336968676716092	0.338835407017225	0.0365066562400616	0.441932830686523	0.444444444444444	0.0586804304248985	0.316549453501122	0.315058859796158	0.0557016756192167	0.252423770856841	0.25	0.0414919179879204
GCF_000012285.1_ASM1228v1	2278	1948568	855.385425812116	747	547.848670556513	0.370786772939942	0.370623590123915	0.0368543064832397	0.44229576030247	0.445888081944503	0.0501824534808774	0.333185815627641	0.333333333333333	0.0512464992228943	0.336878559937268	0.329793499235646	0.0737137083432562
GCF_000012545.1_ASM1254v1	1536	1486979	968.085286458333	789	874.11100146626	0.290233492614941	0.291989633410489	0.0359260661819013	0.421950681886652	0.42692858717214	0.0744231701607355	0.312716023908467	0.316404650781954	0.0604095804643435	0.136035371848269	0.131503759398496	0.0389055374450226
GCF_000013445.1_ASM1344v1	3361	3144066	935.455519190717	762	702.887374470841	0.455320115910288	0.463244613434728	0.0512132186697099	0.534217146557876	0.540901502504174	0.0621839478222023	0.386798039114268	0.388316151202749	0.0550830942436992	0.444946808109994	0.453488372093023	0.08144583255151
GCF_000013725.1_ASM1372v1	2509	2193121	874.101634117178	759	604.042895340392	0.415569781673688	0.424137931034483	0.0473518502416703	0.500835125944645	0.509803921568627	0.0670328320113281	0.355089963055878	0.356294536817102	0.0497128241483344	0.390783284809342	0.399014778325123	0.0732584703838976
GCF_000015145.1_ASM1514v1	1720	1412338	821.126744186046	714	564.637624075033	0.535681363328832	0.535375882721016	0.0468875046177478	0.605573191520665	0.609181216134859	0.0569173268774519	0.422056864316768	0.421829163925262	0.0564151969823607	0.579414415241953	0.577321642088481	0.0857171020884984
GCF_000015205.1_ASM1520v1	2033	1615704	794.738809640925	684	541.636701208861	0.492602878449822	0.474747474747475	0.0743426774213382	0.553256315197981	0.552941176470588	0.0607472953157839	0.401115757606719	0.398550724637681	0.0623909543415169	0.52343898080083	0.481203007518797	0.141483818154658
GCF_000015225.1_ASM1522v1	1866	1624788	870.733118971061	768	548.284646085506	0.579048647708089	0.578244538348938	0.0519029899929978	0.596746121177335	0.596059113300493	0.0541319918665204	0.412459413991194	0.411764705882353	0.0507269224255564	0.727940407955738	0.732173120504483	0.096061973798075
GCF_000015765.1_ASM1576v1	1815	1596109	879.398898071625	768	582.732239406168	0.507246262212327	0.513556618819777	0.0474695321576143	0.556455696107537	0.562091503267974	0.0540244306965241	0.397244107711855	0.399293286219081	0.048088282209496	0.568038100566437	0.575	0.0917689320682826
GCF_000015825.1_ASM1582v1	2457	2147800	874.155474155474	756	575.170506021561	0.625686721116348	0.634328358208955	0.0504801871695484	0.635569262260082	0.639130434782609	0.058712994401335	0.436262634119228	0.436170212765957	0.057776405291956	0.805229345631841	0.828571428571429	0.0881636270040547
GCF_000015945.1_ASM1594v1	1598	1373106	859.265331664581	735	577.846707587631	0.359133926379601	0.359335989540924	0.0356748113460154	0.452272106332691	0.454918032786885	0.0595620269107794	0.338326148988365	0.339346729580215	0.0528878659790931	0.286803523817745	0.281607802938527	0.0495493537790008
GCF_000016125.1_ASM1612v1	1848	1567310	848.111471861472	732	556.827121682922	0.335752774785166	0.336712853827458	0.0383651966518886	0.436693324838029	0.438020042514425	0.0608950827504711	0.312455890788765	0.311289406266414	0.0563340391101967	0.258110541135857	0.255834904672114	0.0453454110632007
GCF_000016385.1_ASM1638v1	2372	1884478	794.467959527825	669	553.114246900573	0.551960921185662	0.555555555555556	0.0542320960165812	0.577010081313826	0.58	0.0567404988863115	0.413465586279085	0.411764705882353	0.0608610134469526	0.665408020031959	0.671958005249344	0.100327332648064
GCF_000016525.1_ASM1652v1	1749	1672370	956.186392224128	771	912.141813727554	0.319263060245074	0.323399558498896	0.0352365170116005	0.434249991565784	0.43728813559322	0.0638040551752657	0.318197695374132	0.319327731092437	0.0582415473801481	0.205340967890697	0.204946996466431	0.0435915305777004
GCF_000016605.1_ASM1660v1	2327	1956262	840.67984529437	726	537.950958811586	0.46464244732997	0.468441814595661	0.0428862583957348	0.498768009385365	0.502857142857143	0.0510701748294349	0.367466531209362	0.369627507163324	0.0510127483241872	0.527693414103583	0.531746031746032	0.0824560424947596
GCF_000017165.1_ASM1716v1	1703	1492360	876.312389900176	765	562.85653111884	0.320475197715053	0.319548872180451	0.0391797183591709	0.425716962509272	0.425196850393701	0.0591107730934641	0.310983706154843	0.30952380952381	0.05562568609348	0.224723162731368	0.219512195121951	0.0445003454149365
GCF_000017185.1_ASM1718v1	1503	1331832	886.115768463074	786	559.111075110998	0.311220554490051	0.311447811447811	0.0383146772410781	0.405950009695221	0.406374501992032	0.0637444422145104	0.304769534388178	0.302127659574468	0.0582655503200133	0.222943032157867	0.220858895705521	0.0370944402639463
GCF_000017225.1_ASM1722v1	1808	1555679	860.441924778761	745.5	567.550508201002	0.338852900865235	0.340478816285268	0.0377493158030478	0.440870194195463	0.443769761425697	0.0598445922320386	0.316654262045154	0.316534250860181	0.0559041507284355	0.259035318618569	0.255964938718103	0.0442634083102854
GCF_000017625.1_ASM1762v1	2535	2204910	869.786982248521	729	635.372132092139	0.550313191068634	0.558558558558559	0.0498660152708361	0.583646282583405	0.589403973509934	0.0618614525864344	0.422157292683648	0.420731707317073	0.0600875068134368	0.645136593030648	0.660044150110375	0.0880081367704889
GCF_000017945.1_ASM1794v1	1457	1213179	832.655456417296	720	549.207671694186	0.562439667091669	0.565292096219931	0.0406688924135551	0.545399931644247	0.546511627906977	0.0509246520091647	0.387377981459317	0.386740331491713	0.0566286582688662	0.754541702838268	0.761904761904762	0.0696354622541367
GCF_000018305.1_ASM1830v1	2023	1837344	908.227385071676	825	575.296762279995	0.435374265387799	0.437556154537287	0.0337196219205997	0.478431593221979	0.482517482517482	0.0493433823435475	0.379786952141903	0.380434782608696	0.0467999442426693	0.447903998589485	0.448275862068966	0.055732766892709
GCF_000018365.1_ASM1836v1	1972	1683209	853.554259634888	741	556.714068103786	0.517369484575871	0.523276652496457	0.0399938333034556	0.548828435341676	0.552925614690321	0.0489935916117875	0.361719453207263	0.362524900398406	0.0503761089793037	0.641562498417063	0.65352404885746	0.0852466168981684
GCF_000018485.1_ASM1848v1	1833	1538232	839.18821603928	720	562.19256521683	0.339611835122993	0.341438703140831	0.0379875108872841	0.440868905118812	0.441780821917808	0.0582914490436527	0.314464141637401	0.314553990610329	0.0561677264636056	0.263502967361719	0.261627906976744	0.0463769012180576
GCF_000019605.1_ASM1960v1	1655	1459801	882.05498489426	783	578.507691157308	0.493662679484716	0.495726495726496	0.0305627841467951	0.506790976577949	0.509043927648579	0.0457179007781454	0.389843757936923	0.391498881431767	0.0448184835932048	0.584353136475377	0.589247311827957	0.059882141599805
GCF_000020905.1_ASM2090v1	1408	1206856	857.142045454545	744	554.877863963575	0.454755173712796	0.451900505597689	0.0377661708919857	0.499856583098499	0.502681138585394	0.048493212115432	0.374886365600231	0.375	0.0463651008581014	0.489525158576774	0.480637859018334	0.0714599151247293
GCF_000021965.1_ASM2196v1	2769	2521115	910.47851209823	753	709.755285559654	0.559163491602367	0.568627450980392	0.0605733682649555	0.582737373108584	0.588607594936709	0.0676891125778209	0.419361145366603	0.420062695924765	0.0598047338785505	0.675390510844098	0.693333333333333	0.111555589308148
GCF_000022205.1_ASM2220v1	3595	3155376	877.712378303199	756	607.766023106165	0.646561904165273	0.664488017429194	0.065003028144319	0.683338011845531	0.688925081433225	0.068206788649506	0.448190101411626	0.444444444444444	0.0668907700119926	0.808159656269119	0.858757062146893	0.123234557774799
GCF_000022365.1_ASM2236v1	2148	1901066	885.040037243948	751.5	717.964483008762	0.537774760658522	0.545611791627406	0.0399020106521615	0.558055584924441	0.562117720336344	0.0487487525345434	0.370889102765775	0.372122460994996	0.0513278181556126	0.684382141978438	0.7	0.0828880483569608
GCF_000022385.1_ASM2238v1	2971	2439923	821.246381689667	720	544.948230837076	0.353922372358616	0.354723707664884	0.0377643933037483	0.423521027048941	0.427385892116183	0.0556958568646574	0.327410900521503	0.326923076923077	0.0553660195288325	0.310834806740746	0.30050505050505	0.0652045578120491
GCF_000022405.1_ASM2240v1	2829	2336674	825.971721456345	723	548.282504735645	0.353730046051676	0.354235423542354	0.0377975634852569	0.423254455899381	0.426315789473684	0.0548805019624576	0.328742396633424	0.328083989501312	0.0550701218164961	0.309190275372699	0.298924731182796	0.0660244756117672
GCF_000022425.1_ASM2242v1	2871	2397306	835.007314524556	732	553.216896065929	0.35298036697208	0.353120243531202	0.0384663215428195	0.422917707749797	0.425373134328358	0.0549473170135553	0.328362904701336	0.327272727272727	0.0556368595966742	0.307658804503124	0.297872340425532	0.0679203851569376
GCF_000022465.1_ASM2246v1	2931	2417986	824.969634936882	726	544.446167008714	0.356398719027818	0.355555555555556	0.0394876349987522	0.424406883879774	0.427184466019417	0.0555021109945039	0.329191562023606	0.32843137254902	0.0542820501510716	0.31559571722535	0.302059496567506	0.0724338404819251
GCF_000022485.1_ASM2248v1	3105	2534406	816.233816425121	727	523.685640021611	0.356700895558128	0.356009070294785	0.0408226696177439	0.424416048699026	0.42668863261944	0.0554994950792735	0.330131779615709	0.329059829059829	0.0549179439095494	0.315552278414986	0.30241935483871	0.0738185515747858
GCF_000022545.1_ASM2254v1	1966	1679770	854.40996948118	754.5	539.320572272781	0.403630105327789	0.4	0.0378304134592486	0.494286766248854	0.496415724563207	0.0503528245111374	0.337227041617181	0.335065040211583	0.0518068723875748	0.379377247846697	0.363636363636364	0.0759825691310112
GCF_000023945.1_ASM2394v1	2947	2728639	925.903970139125	774	673.136802890127	0.634421019682819	0.642676767676768	0.0442570305655317	0.679982978948537	0.685185185185185	0.0564035971372893	0.440447663915435	0.440425531914894	0.0561575669057657	0.782833052433702	0.798561151079137	0.0847540407283912
GCF_000023965.1_ASM2396v1	3284	2870800	874.177831912302	762	577.625317709939	0.662337804507587	0.670832064585139	0.0471801010933518	0.693793854558277	0.700225910765248	0.0596303524309056	0.449774808411943	0.448442050760483	0.0631703989618747	0.843448223823451	0.86734693877551	0.0822909084559864
GCF_000023985.1_ASM2398v1	1595	1363839	855.071473354232	756	535.76144165701	0.323897459606847	0.324018629407851	0.0362153535534156	0.418233148618093	0.421276595744681	0.0601986871677105	0.298560233336129	0.295719844357977	0.0575392963533487	0.254901493408926	0.253358925143954	0.0438871835446941
GCF_000024185.1_ASM2418v1	2217	2275353	1026.32070365359	777	1140.70203559743	0.357703194989755	0.362030905077263	0.0454102258627485	0.446722391258122	0.451063829787234	0.0669796552035869	0.319078583109263	0.322033898305085	0.0613817558818164	0.307307501016058	0.306451612903226	0.0751219242686937
GCF_000024625.1_ASM2462v1	1715	1492407	870.208163265306	747	608.957363377548	0.325770252155397	0.326241134751773	0.0389905193441439	0.419646153905819	0.423780487804878	0.063861802353269	0.297781480399263	0.29585798816568	0.0564333086572384	0.259885287124177	0.257575757575758	0.0457712760634265
GCF_000024745.1_ASM2474v1	2874	2331890	811.374391092554	729	516.471537446553	0.362569835799127	0.357142857142857	0.0481890081298837	0.428538848024716	0.432781546811398	0.0546284653634759	0.330615122657159	0.329530996992829	0.0557953285856228	0.328556256425327	0.302288192626935	0.101109830430797
GCF_000025285.1_ASM2528v1	1805	1450622	803.668698060942	675	551.776571299421	0.419719195589914	0.422165820642978	0.0328975850126867	0.48122536073378	0.485119047619048	0.0503401894834025	0.334839512808949	0.33469387755102	0.0518718534618696	0.443092515676564	0.443223443223443	0.0622107227241257
GCF_000025325.1_ASM2532v1	5167	4502529	871.401006386685	768	594.11745305824	0.648420007527288	0.658959537572254	0.0513509684471246	0.681170137799922	0.6875	0.0598969048131722	0.443002560203228	0.441326530612245	0.0619582873619679	0.821091039179362	0.856031128404669	0.101132029400232
GCF_000025505.1_ASM2550v1	2521	2027393	804.201904006347	690	543.831275710415	0.441097336097552	0.445820433436532	0.037528543823089	0.493074447771395	0.497835497835498	0.0515766034575216	0.336906960390655	0.337349397590361	0.0523676767797277	0.493311444221665	0.502487562189055	0.0691747877059657
GCF_000025525.1_ASM2552v1	1820	1564316	859.514285714286	742.5	593.508023406157	0.322134707881451	0.322356371698477	0.0377934992915368	0.413810783037856	0.416666666666667	0.0604938525995024	0.294975136404176	0.293657397158844	0.058754907007501	0.257618122923502	0.256024970963995	0.0439912885628474
GCF_000025625.1_ASM2562v1	4154	3704427	891.773471352913	786	593.137076958384	0.61653187815274	0.625930544010344	0.0451590419782384	0.670933246623071	0.677777777777778	0.0568453020208953	0.437050781576087	0.435057251908397	0.0598877363333794	0.741612721096064	0.762617921227221	0.0906565288471055
GCF_000025665.1_ASM2566v1	1528	1410535	923.125	771	679.980204614312	0.393163418321022	0.393966693966694	0.0358206842760059	0.465907335110958	0.466317821233256	0.0531788854934386	0.331659903698916	0.333333333333333	0.0514318771119833	0.381922954122887	0.377616972588734	0.0606376903985688
GCF_000025685.1_ASM2568v1	3964	3458296	872.425832492432	774	566.759645604405	0.661812366253158	0.672792255304778	0.0556824801078665	0.68762454734476	0.691115487455369	0.0621426967159279	0.450491753910044	0.446043165467626	0.0662064490564625	0.847323621649814	0.886196651900873	0.103442363917794
GCF_000025865.1_ASM2586v1	1986	1799750	906.218529707956	775.5	670.902844891629	0.430853080120494	0.434711839884254	0.0414534095685099	0.522722925320903	0.529810517038778	0.0575752970154162	0.364027805325175	0.365714614162695	0.0475981595909592	0.405808433254271	0.407465459189597	0.0665926044397973
GCF_000026045.1_ASM2604v1	2768	2466165	890.955563583815	748.5	609.681139604362	0.63592778998561	0.640957365192	0.0394201073085468	0.693302836112167	0.697978060164208	0.0529936632816017	0.444083056518132	0.441805443638643	0.0599023116031994	0.770397402038369	0.785185185185185	0.069141581086946
GCF_000063445.1_ASM6344v1	3103	2675071	862.091846600064	753	550.521322832755	0.55932923905334	0.569124423963134	0.052657596251506	0.557844390178742	0.562913907284768	0.0579778856514103	0.402756924003699	0.399159663865546	0.0585436767316688	0.717387034909232	0.737547892720307	0.106382517446543
GCF_000069025.1_ASM6902v1	2744	2369572	863.546647230321	729	583.547911934266	0.65925080423299	0.674132223113965	0.0629850467123405	0.687903941149167	0.69282161101073	0.0656181788293673	0.457326906516385	0.455486003967379	0.0668603360423009	0.832521602972932	0.881578947368421	0.115967980355949
GCF_000091665.1_ASM9166v1	1821	1530210	840.313014827018	714	604.137459606464	0.315000320963704	0.316358024691358	0.0385860237691672	0.407257726324689	0.408450704225352	0.0627717075524551	0.291353346967738	0.289115646258503	0.0599389582891218	0.246390799991728	0.243243243243243	0.045163113632009
GCF_000092185.1_ASM9218v1	1368	1188855	869.046052631579	753	558.149605199151	0.467371670908294	0.464600534482071	0.0414724465929217	0.504747033015133	0.507160924254854	0.0494025239263298	0.370056485397622	0.369471730146736	0.0460459947359541	0.527311494312125	0.515789473684211	0.0773541737899105
GCF_000092305.1_ASM9230v1	1458	1238449	849.416323731139	753	523.85405102492	0.335471422690814	0.340185582984118	0.038894381613948	0.419464052379015	0.423018824076226	0.0613388721824448	0.298008977198602	0.295454545454545	0.0580516836135636	0.288939574523458	0.295110428051002	0.0510459002967141
GCF_000092465.1_ASM9246v1	1586	1375833	867.486128625473	754.5	569.776140774697	0.369420004944245	0.369200876578151	0.0351032476125409	0.457652385617835	0.460767583483906	0.0574736099083011	0.343836710595971	0.345711846598371	0.0521481880547468	0.306770918618928	0.299626830484043	0.050254672211779
GCF_000144915.1_ASM14491v1	1480	1364395	921.888513513514	816	578.342571687682	0.572884448334857	0.573184442176437	0.0537499063948754	0.56720930274737	0.567901234567901	0.0502337803992921	0.425513370982479	0.426006441223833	0.0546931539956707	0.725930807241626	0.734185981439164	0.107071824048968
GCF_000145295.1_ASM14529v1	1723	1489748	864.624492164829	741	590.243879617008	0.491370435651123	0.497942386831276	0.0421272884570237	0.544895492077828	0.552287581699346	0.0586966617917181	0.388445979559329	0.392557022809124	0.0514659623532434	0.540769278538539	0.548821548821549	0.0759361927699008
GCF_000147875.1_ASM14787v1	2814	2497113	887.389125799574	771	577.567699522667	0.480468010058717	0.488041642272155	0.0575141247970504	0.519676452733959	0.524883046506213	0.0568599476900999	0.379917144739412	0.380867649550924	0.0534087378436955	0.54181016827088	0.552433570113128	0.110793939600377
GCF_000148385.1_ASM14838v1	2420	2108856	871.428099173554	768	543.991694247433	0.457731989635822	0.460434322033898	0.0440874419172615	0.490436374920828	0.493871290847627	0.053386647115494	0.376722103029504	0.377690122580048	0.0477608014220181	0.506037490957134	0.507281724991163	0.0730105061986881
GCF_000151105.2_ASM15110v2	2204	1902958	863.411070780399	750	584.387088698128	0.417477224258524	0.41543128494348	0.0367685640086656	0.494913607177136	0.497126341866226	0.0488552413541937	0.334806977318395	0.333333333333333	0.0503340152210012	0.422710100800724	0.415730337078652	0.0696959575421908
GCF_000151205.2_ASM15120v2	2250	1934991	859.996	720	648.825193748428	0.549892179859021	0.562789831335825	0.0457750332880734	0.560802213421307	0.566245112901939	0.0521782381668416	0.371103795676141	0.372881355932203	0.0501360285048486	0.717769949376126	0.745398080180689	0.0979781608562549
GCF_000152265.2_ASM15226v2	1900	1703363	896.506842105263	790.5	573.791036172322	0.3702371613983	0.376055021367521	0.0411466722967192	0.43065552052462	0.436933996899731	0.0580891064863799	0.330268668379909	0.331927207425056	0.0517656665671624	0.349787349950917	0.354281341791524	0.0521472601954692
GCF_000166095.1_ASM16609v1	1309	1169510	893.437738731856	780	590.872142272368	0.314092057011087	0.312714776632302	0.0308836819975406	0.428561357671755	0.429906542056075	0.0593278848143217	0.323641145182305	0.322799097065463	0.0509388284213045	0.190074438020785	0.184210526315789	0.0383794557351821
GCF_000172995.2_ASM17299v2	3828	3405549	889.641849529781	774	604.009135087645	0.606423639532286	0.612922919374532	0.0421837989696039	0.662448622266644	0.666666666666667	0.0571959789791587	0.438015528384518	0.436486012452863	0.0588213784169588	0.718807426592743	0.733639574518403	0.0767080126606939
GCF_000179575.2_ASM17957v2	1635	1410821	862.8874617737	756	575.510247393508	0.309923282921681	0.310606060606061	0.0391464935835382	0.401865326013818	0.405263157894737	0.0685034162152755	0.298420271692091	0.298013245033113	0.0601126308125892	0.229483736603403	0.227027027027027	0.0385873249321363
GCF_000186365.1_ASM18636v1	1354	1188563	877.816100443132	768	545.622528167514	0.531332390392653	0.531266025641026	0.0312184928293311	0.554994936002064	0.556766656766657	0.0472729086425524	0.405310530560723	0.404681041780788	0.0454067400849671	0.633692247308104	0.635381048971313	0.0573965104737094
GCF_000189555.1_ASM18955v1	2724	2255186	827.895007342144	729	542.176563144559	0.355503266238454	0.354838709677419	0.0376906030093408	0.425763465613466	0.428571428571429	0.0539721834724671	0.329852351879703	0.327745144880695	0.0559663992546663	0.310891811637342	0.300110375275938	0.0646926811333429
GCF_000190315.1_ASM19031v1	2405	2079627	864.709771309771	768	542.321251681247	0.427691072185979	0.429530201342282	0.0439812444028872	0.473134504674855	0.476997578692494	0.0552431692250543	0.370989725222874	0.371727748691099	0.0493779155454573	0.438949589967296	0.435530085959885	0.0737837813469621
GCF_000191585.1_ASM19158v1	2484	2154080	867.181964573269	733.5	590.886119197818	0.374061379957925	0.379300054538532	0.0372421343030699	0.463945579114795	0.47172945527487	0.0643593249760265	0.337638170681658	0.337807807807808	0.0563641857809369	0.320600311280063	0.324875255811814	0.058478460547333
GCF_000193375.1_ASM19337v1	2114	1749369	827.516083254494	711	549.531396963396	0.598709268036279	0.607501758617224	0.0544859695680303	0.586331658191539	0.593659942363112	0.0594232086520848	0.425257137330709	0.426315462894018	0.0564789051788756	0.784539008586588	0.805306286604831	0.0911965701264209
GCF_000194625.1_ASM19462v1	2101	1714514	816.046644455021	699	546.182298813816	0.473246509147777	0.483014861995754	0.041441023933596	0.528397791011236	0.533980582524272	0.0523699818743831	0.36153648701375	0.363636363636364	0.0518931391151209	0.529805122449608	0.539823008849557	0.076197638202298
GCF_000195895.1_ASM19589v1	3989	3524319	883.509400852344	741	681.443202872102	0.412122416543423	0.419664268585132	0.051846727541713	0.490394893816286	0.502267573696145	0.0762794225284389	0.358821535038707	0.35929648241206	0.0565831073502756	0.387152266598623	0.394366197183099	0.0741678487867066
GCF_000195915.1_ASM19591v1	1540	1385740	899.831168831169	781.5	593.619567653095	0.464897156781892	0.470146425301331	0.0424277845547046	0.488544264396063	0.495145631067961	0.0513257061465529	0.367403219007635	0.370638945233266	0.0486522181092646	0.538743466208861	0.546186005731149	0.0795392809490331
GCF_000195935.2_ASM19593v1	1898	1652253	870.523182297155	756	569.096597244479	0.447442052812439	0.452004960727573	0.036408649135997	0.498105723472252	0.501679461218688	0.0490875635505212	0.344576756588884	0.344920531647923	0.0490281272615925	0.499643628515128	0.502564102564103	0.0732197901835516
GCF_000196655.1_ASM19665v1	2339	2086736	892.148781530569	759	645.454245596283	0.371056291947401	0.374677002583979	0.0392082003453537	0.473292824188103	0.477941176470588	0.0643300357727695	0.337106353502107	0.339416058394161	0.0534742508321971	0.302770118793523	0.298449612403101	0.0582176261043018
GCF_000196895.1_ASM19689v1	3757	3170192	843.809422411499	735	572.036968452631	0.634715440422879	0.652014652014652	0.0604336518495882	0.67365628678884	0.68	0.0608056877433479	0.442367567679508	0.442211055276382	0.0580186865216615	0.788123757818704	0.837748344370861	0.119421546721269
GCF_000204415.1_ASM20441v1	2977	2611555	877.24386966745	744	656.11266738928	0.516390468998355	0.527777777777778	0.0566121199804281	0.546514335744607	0.553191489361702	0.0620631603497531	0.398940121616565	0.39937106918239	0.0525877730556906	0.603718240540311	0.624303963314772	0.105990157402111
GCF_000204925.1_ASM20492v1	1918	1633227	851.526068821689	733.5	545.799502205242	0.422043293573949	0.424528301886792	0.0396700483495572	0.466316200102189	0.469635627530364	0.0497534283615984	0.355968032446516	0.356377234502091	0.0483076155439135	0.443845651150956	0.440136518771331	0.0785897230788375
GCF_000211475.1_ASM21147v1	1984	1719962	866.916330645161	757.5	562.160322322189	0.427040213911727	0.42818568811883	0.0343136393912613	0.492776805535023	0.49585919550084	0.0508065236829315	0.345340592745675	0.34582952708875	0.0499836469754739	0.443003998666768	0.438797037802463	0.0704120601657611
GCF_000213215.1_ASM21321v1	2436	1918032	787.369458128079	654	532.900949874245	0.342937107402634	0.34357160135462	0.0376733573025359	0.425050825948119	0.428188382712116	0.0563723227920155	0.323376419284133	0.32258064516129	0.0566302448502315	0.280384006174533	0.27063246351172	0.0638223270835825
GCF_000214415.1_ASM21441v1	1802	1540714	855.002219755827	763.5	568.976581065279	0.331513717197152	0.333333333333333	0.0406433501046877	0.419341261548314	0.421595124536301	0.0610305230887587	0.300446536102489	0.300101419878296	0.0592027810403266	0.274755243621747	0.275	0.0510997948048648
GCF_000214725.1_ASM21472v1	2388	2013291	843.086683417085	711	589.490752177344	0.379367817294261	0.384877386955025	0.041787319693904	0.473864106677194	0.479747712275329	0.0633844825739279	0.339402190097615	0.339477857061955	0.0555760996039976	0.324838126831835	0.328071611617312	0.064120303894689
