Modeling	Genome	Element	Carrying_capacity	Rate	Initial_cost	AIC_Uniform	AIC_Linear	AIC_Exponential	BIC_Uniform	BIC_Linear	BIC_Exponential	Best_AIC	Best_BIC	P_Carrying_capacity	P_Rate	P_Initial_cost
Successful	GCF_004355445.1_ASM435544v1	Hydrogen bonds	7.95055655751926	0.222605486797277	7.44247526774931	-266.51676030062	-273.899707437662	-403.445569977534	-261.32652060035	-266.114347887258	-393.065090576996	8.11549384547706e-230	1.68572011079118e-13	1.84271428877647e-112	AIC_Exponential	BIC_Exponential
Successful	GCF_004355465.1_ASM435546v1	Hydrogen bonds	7.95121821505072	0.222279474525122	7.44313182793337	-264.755207949472	-272.098836254096	-397.018518637706	-259.564968249203	-264.313476703692	-386.638039237168	1.84500571587943e-228	6.17188420257587e-13	3.4702939170911e-111	AIC_Exponential	BIC_Exponential
Successful	GCF_004355485.1_ASM435548v1	Hydrogen bonds	7.95148163659242	0.221030636255023	7.44499321973874	-266.426313864898	-274.106250595191	-404.514185992157	-261.236074164629	-266.320891044787	-394.133706591618	5.15979923402457e-230	1.2157866905297e-13	5.10175523729332e-113	AIC_Exponential	BIC_Exponential
Successful	GCF_004355505.1_ASM435550v1	Hydrogen bonds	7.9499453241479	0.223624316098618	7.44156690054465	-266.338345887916	-273.687208477051	-400.908511851519	-261.148106187646	-265.901848926647	-390.528032450981	2.66369765799254e-229	3.26361272004431e-13	1.02992327061931e-111	AIC_Exponential	BIC_Exponential
Successful	GCF_004355525.1_ASM435552v1	Hydrogen bonds	7.95034872283402	0.222617350753351	7.44024605711726	-265.346793323865	-272.673616950701	-401.142080681216	-260.156553623596	-264.888257400297	-390.761601280678	2.48513250825638e-229	2.3172612755518e-13	5.63273583805405e-112	AIC_Exponential	BIC_Exponential
Successful	GCF_004355545.1_ASM435554v1	Hydrogen bonds	7.94998025608427	0.223823628470903	7.44028259468253	-265.712867410805	-273.077384099914	-399.564390349091	-260.522627710536	-265.29202454951	-389.183910948553	5.06163683429749e-229	3.98206739522591e-13	2.16334498079447e-111	AIC_Exponential	BIC_Exponential
Successful	GCF_004355565.1_ASM435556v1	Hydrogen bonds	7.94954112747694	0.223606837732226	7.43909691288903	-265.371834681157	-272.658948457032	-399.547947423211	-260.181594980888	-264.873588906629	-389.167468022673	5.1835260302136e-229	3.63731770526453e-13	1.9737295694616e-111	AIC_Exponential	BIC_Exponential
Successful	GCF_004355585.1_ASM435558v1	Hydrogen bonds	7.95158701090063	0.223039208966737	7.44448849289927	-264.559291755898	-271.612744225422	-393.551265778121	-259.369052055629	-263.827384675018	-383.170786377583	9.50863359963536e-228	1.50738461456178e-12	2.6536157892412e-110	AIC_Exponential	BIC_Exponential
Successful	GCF_004355605.1_ASM435560v1	Hydrogen bonds	7.95166087298725	0.221378482314824	7.44381471143551	-265.781267844617	-273.483668902376	-402.784218856477	-260.591028144348	-265.698309351973	-392.403739455939	1.17130950426432e-229	1.64987320905014e-13	1.38553814657451e-112	AIC_Exponential	BIC_Exponential
Unsuccessful	GCF_004355705.1_ASM435570v1	Hydrogen bonds	7.94044070683415	NA	7.66585497835498	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Unsuccessful	GCF_004355725.1_ASM435572v1	Hydrogen bonds	7.94025056644009	NA	7.6650406504065	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Unsuccessful	GCF_004355745.1_ASM435574v1	Hydrogen bonds	7.9399972477838	NA	7.66314649336583	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Unsuccessful	GCF_004355765.1_ASM435576v1	Hydrogen bonds	7.94001999620762	NA	7.66824395373291	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Successful	GCF_004355785.1_ASM435578v1	Hydrogen bonds	7.94768327191934	0.189708490132626	7.53016709150395	-267.227241379114	-274.257627750521	-366.773100364451	-262.037001678845	-266.472268200117	-356.392620963913	2.90850246427614e-221	2.63715170229591e-09	7.13932224839993e-112	AIC_Exponential	BIC_Exponential
Unsuccessful	GCF_004355805.1_ASM435580v1	Hydrogen bonds	7.93973509050408	NA	7.66341198806618	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Unsuccessful	GCF_004355825.1_ASM435582v1	Hydrogen bonds	7.93784189127099	NA	7.66181914331042	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Unsuccessful	GCF_004355845.1_ASM435584v1	Hydrogen bonds	7.94030937771207	NA	7.66001596169194	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Unsuccessful	GCF_004355865.1_ASM435586v1	Hydrogen bonds	7.93643569287843	NA	7.6600314300681	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Unsuccessful	GCF_004355885.3_ASM435588v3	Hydrogen bonds	7.93870581761968	NA	7.66222695791156	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Successful	GCF_004358325.1_ASM435832v1	Hydrogen bonds	7.26317121655275	0.166077647682685	6.66650873413451	-198.121278318888	-218.879411129038	-361.458527481657	-192.931038618619	-211.094051578634	-351.078048081119	1.56836816018019e-215	6.99904307945023e-17	1.83315092973867e-112	AIC_Exponential	BIC_Exponential
Successful	GCF_004358345.1_ASM435834v1	Hydrogen bonds	7.21257359652684	0.177925338293711	6.9303657634876	-327.397417226768	-340.19516785868	-411.249242099181	-322.207177526499	-332.409808308277	-400.868762698643	3.26304549693616e-226	9.39309530614829e-08	7.13253286376378e-120	AIC_Exponential	BIC_Exponential
Successful	GCF_004358365.1_ASM435836v1	Hydrogen bonds	7.55598348272876	0.209586200199135	6.85135675682838	-206.035007441086	-227.112332048331	-426.129387540669	-200.844767740816	-219.326972497928	-415.74890814013	3.70641372251829e-232	2.75126960651921e-25	6.26742763011781e-118	AIC_Exponential	BIC_Exponential
Successful	GCF_004358385.1_ASM435838v1	Hydrogen bonds	7.55591801337006	0.21226327489656	6.85137976554406	-206.7529593662	-227.96755896075	-417.038355725029	-201.562719665931	-220.182199410346	-406.657876324491	2.62851601685172e-230	9.74681031964408e-24	1.86229636098088e-115	AIC_Exponential	BIC_Exponential
Successful	GCF_004358405.1_ASM435840v1	Hydrogen bonds	7.55738124463122	0.212346374822412	6.84716425475602	-205.893979236463	-225.956209197794	-422.1306040752	-200.703739536194	-218.17084964739	-411.750124674661	2.17762672060708e-231	1.13137788988664e-24	1.62178400177587e-116	AIC_Exponential	BIC_Exponential
Successful	GCF_004358425.1_ASM435842v1	Hydrogen bonds	8.03203185565394	0.277505408415341	7.64930563045988	-322.950235201942	-321.026112590417	-391.301567327112	-317.759995501673	-313.240753040013	-380.921087926573	1.35098308263861e-228	2.51931460866705e-06	2.79127252827393e-99	AIC_Exponential	BIC_Exponential
Successful	GCF_004358445.1_ASM435844v1	Hydrogen bonds	7.24684891277152	0.202150219577243	6.87783653401685	-322.390498313336	-335.77798184566	-479.729265228261	-317.200258613067	-327.992622295257	-469.348785827723	1.5106302350175e-241	4.12881176842891e-16	5.74819423932212e-129	AIC_Exponential	BIC_Exponential
Successful	GCF_004358925.1_ASM435892v1	Hydrogen bonds	7.59354876470169	0.189399412838363	6.88021333612151	-192.531878814502	-223.992234420457	-453.05709402457	-187.341639114233	-216.206874870053	-442.676614624031	AIC_Exponential	BIC_Exponential	1.73965591414216e-237	5.04768106525897e-32	3.60082953365605e-128
Successful	GCF_004358965.1_ASM435896v1	Hydrogen bonds	7.55814866667124	0.212191189644068	6.84234686159787	-207.141633817957	-229.47225227043	-452.633000419288	-201.951394117688	-221.686892720026	-442.252521018749	8.22676515006353e-238	1.85204096371495e-29	5.90047468537048e-123	AIC_Exponential	BIC_Exponential
Successful	GCF_004358985.1_ASM435898v1	Hydrogen bonds	7.55954634813177	0.21102402174753	6.84873203342938	-207.387939084182	-229.960528021498	-448.591722317133	-202.197699383913	-222.175168471095	-438.211242916595	6.10382106554344e-237	9.73977185679778e-29	2.32591514113388e-122	AIC_Exponential	BIC_Exponential
Successful	GCF_004359195.1_ASM435919v1	Hydrogen bonds	7.17811862531222	0.215576325171994	6.40224513075448	-190.929133340771	-210.038521284063	-423.666215972993	-185.738893640501	-202.253161733659	-413.285736572455	1.24985614008162e-229	2.54497141172483e-27	4.65625142976479e-114	AIC_Exponential	BIC_Exponential
Successful	GCF_004359355.1_ASM435935v1	Hydrogen bonds	7.95406868709831	0.137741235964973	7.59372494256051	-288.585044522098	-322.380788166448	-527.067343912065	-283.394804821829	-314.595428616044	-516.686864511527	8.66547063735971e-253	3.72935029329834e-28	2.85178712237233e-158	AIC_Exponential	BIC_Exponential
Successful	GCF_004359375.1_ASM435937v1	Hydrogen bonds	7.23603854159978	0.148186986115214	6.73351458162004	-224.01540688536	-258.258749025731	-417.409340646918	-218.82516718509	-250.473389475327	-407.02886124638	2.48328174553314e-226	4.47082416456764e-21	1.82865888108705e-128	AIC_Exponential	BIC_Exponential
Successful	GCF_004367585.1_ASM436758v1	Hydrogen bonds	7.1319554581824	0.160570567430494	6.70183599169131	-271.608062921433	-304.42961391342	-510.675069957659	-266.417823221164	-296.644254363016	-500.29459055712	5.58712617214601e-246	2.47414209679431e-28	2.02223083339416e-144	AIC_Exponential	BIC_Exponential
Successful	GCF_004367665.1_ASM436766v1	Hydrogen bonds	8.07962293842346	0.217964153516675	7.31588476001646	-198.852153596872	-212.247904122269	-450.322533325586	-193.661913896603	-204.462544571865	-439.942053925048	3.07709161454856e-240	1.80811230737016e-30	4.93735325532935e-124	AIC_Exponential	BIC_Exponential
Successful	GCF_004367685.1_ASM436768v1	Hydrogen bonds	8.0793991933306	0.215810263358024	7.32275039385082	-199.267363332844	-212.826041098444	-450.378211469632	-194.077123632575	-205.04068154804	-439.997732069094	3.35123296261951e-240	2.06968924898074e-30	1.71854625874487e-124	AIC_Exponential	BIC_Exponential
Successful	GCF_004367705.1_ASM436770v1	Hydrogen bonds	8.08073544413041	0.216650537916359	7.32328706192153	-199.386922828034	-212.62572196581	-447.537321153673	-194.196683127765	-204.840362415406	-437.156841753134	1.25200340858119e-239	6.62128368843711e-30	1.00107985745794e-123	AIC_Exponential	BIC_Exponential
Successful	GCF_004367725.1_ASM436772v1	Hydrogen bonds	8.07975906956079	0.21903684096209	7.31598583632709	-199.371390495619	-212.167357546712	-448.186435673831	-194.18115079535	-204.381997996308	-437.805956273292	8.19575462552837e-240	5.12749988974595e-30	2.31582280261803e-123	AIC_Exponential	BIC_Exponential
Successful	GCF_004367745.1_ASM436774v1	Hydrogen bonds	7.92194481284131	0.224105369399357	7.16740764230682	-204.972204710758	-217.319801828682	-451.111268408412	-199.781965010488	-209.534442278278	-440.730789007874	1.02877561447862e-239	1.47006906814991e-29	4.14325845352492e-122	AIC_Exponential	BIC_Exponential
Successful	GCF_004368015.1_ASM436801v1	Hydrogen bonds	7.55052029296869	0.218422688545252	6.83638709360589	-211.687691206629	-232.146395090226	-453.802153927521	-206.49745150636	-224.361035539822	-443.421674526983	3.70760149909553e-238	6.87517449830548e-29	7.47735758204366e-122	AIC_Exponential	BIC_Exponential
Successful	GCF_004368055.1_ASM436805v1	Hydrogen bonds	7.45069122497463	0.217812486619243	6.85228515348902	-239.81962771116	-253.064209320739	-420.66639133891	-234.629388010891	-245.278849770335	-410.285911938372	1.27272969964522e-230	2.44678082602723e-19	1.96095802880735e-114	AIC_Exponential	BIC_Exponential
Successful	GCF_004379295.1_ASM437929v1	Hydrogen bonds	7.19502483558713	0.159969545469599	6.75887286984429	-262.341444025452	-294.880078123128	-452.9831827651	-257.151204325183	-287.094718572724	-442.602703364562	3.58946583250921e-234	1.02451599665598e-20	8.39403855039717e-133	AIC_Exponential	BIC_Exponential
Successful	GCF_004379315.1_ASM437931v1	Hydrogen bonds	7.86879082345919	0.184007053767891	7.24484148739667	-217.743929327004	-244.740669935067	-497.455129750014	-212.553689626735	-236.955310384664	-487.074650349475	3.66099313032982e-248	2.03428915976426e-35	3.3868315378231e-140	AIC_Exponential	BIC_Exponential
Successful	GCF_004379335.1_ASM437933v1	Hydrogen bonds	6.76845141431416	0.186199504552491	6.45596004186806	-310.384736857487	-319.236204592989	-390.64545271817	-305.194497157218	-311.450845042585	-380.264973317632	1.71890461747201e-219	2.01937906440437e-07	5.2775154777372e-111	AIC_Exponential	BIC_Exponential
Successful	GCF_004379355.1_ASM437935v1	Hydrogen bonds	7.22406549022332	0.198975454782632	6.8096038162866	-295.118712306481	-311.134647789037	-447.3259035226	-289.928472606212	-303.349288238633	-436.945424122062	1.6686404288135e-234	1.95463563402089e-15	9.66185673766324e-123	AIC_Exponential	BIC_Exponential
Successful	GCF_004421005.1_ASM442100v1	Hydrogen bonds	7.99586709330402	0.219276490666476	7.19390033891569	-189.756506153671	-205.77280703089	-444.107995846473	-184.566266453401	-197.987447480486	-433.727516445935	AIC_Exponential	BIC_Exponential	1.60809270623656e-238	5.7550497608914e-31	4.87174380217565e-122
Successful	GCF_004421025.1_ASM442102v1	Hydrogen bonds	7.28687534299026	0.179298000635785	6.50592011599162	-162.686382724706	-188.363513334378	-388.827724311232	-157.496143024437	-180.578153783975	-378.447244910694	6.66422802963901e-222	3.01168324346939e-26	3.11628350275884e-115	AIC_Exponential	BIC_Exponential
Successful	GCF_004421045.1_ASM442104v1	Hydrogen bonds	7.40383090331704	0.148932955386628	6.82502912423281	-204.693647530984	-250.180019570007	-487.83428220156	-199.503407830715	-242.394660019604	-477.453802801022	3.81587102265589e-242	6.38519070798178e-36	5.29733712901419e-144	AIC_Exponential	BIC_Exponential
Successful	GCF_004421065.1_ASM442106v1	Hydrogen bonds	8.05837850808326	0.223664497460198	7.56795726920242	-275.381899707616	-281.006514605447	-414.461490773382	-270.191660007347	-273.221155055043	-404.081011372844	1.00947764317389e-232	8.92022468533102e-14	4.26944966144083e-115	AIC_Exponential	BIC_Exponential
Successful	GCF_004421085.1_ASM442108v1	Hydrogen bonds	7.00826229760226	0.179276837017362	6.6284163904107	-294.035447123109	-316.275039690771	-432.998433942816	-288.84520742284	-308.489680140368	-422.617954542277	1.25645113513198e-229	9.47104387187668e-14	6.33073530971803e-123	AIC_Exponential	BIC_Exponential
Successful	GCF_004421105.1_ASM442110v1	Hydrogen bonds	7.55626254392886	0.151396566328051	7.12307643736376	-254.453847980831	-278.714766105776	-430.935572503525	-249.263608280562	-270.929406555372	-420.555093102987	3.62492972524917e-231	1.15604437128748e-18	2.425353667284e-132	AIC_Exponential	BIC_Exponential
Successful	GCF_004519465.1_ASM451946v1	Hydrogen bonds	8.08452513927824	0.254600694190051	7.6988549059814	-353.622675020163	-361.698411197759	-527.077942567179	-348.432435319894	-353.913051647355	-516.697463166641	3.91757138395331e-257	2.89602242249688e-18	1.72596489371721e-132	AIC_Exponential	BIC_Exponential
Successful	GCF_004524875.1_ASM452487v1	Hydrogen bonds	8.15333904015336	0.256212904314969	7.69321878594638	-319.190884779296	-323.139730919204	-494.600598702143	-314.000645079027	-315.3543713688	-484.220119301605	1.14236263686633e-250	1.54255665249904e-18	9.32325199101052e-126	AIC_Exponential	BIC_Exponential
Successful	GCF_004526235.1_ASM452623v1	Hydrogen bonds	7.26159268620054	0.156093347812171	6.60026911733633	-178.426013704609	-214.845735926559	-402.601067930021	-173.23577400434	-207.060376376155	-392.220588529483	9.84655558296419e-224	7.11457857216736e-26	1.84303863468183e-123	AIC_Exponential	BIC_Exponential
Successful	GCF_004526255.1_ASM452625v1	Hydrogen bonds	7.55616992065978	0.212430537822564	6.85047242635984	-209.886529729946	-231.95927043876	-451.09236242471	-204.696290029677	-224.173910888356	-440.711883024172	1.75371214433972e-237	9.7045748525186e-29	1.44123395978599e-122	AIC_Exponential	BIC_Exponential
Successful	GCF_004526275.1_ASM452627v1	Hydrogen bonds	7.41497598530462	0.138213783651815	6.8421326662682	-197.270824834003	-245.166104457787	-475.110980368084	-192.080585133734	-237.380744907384	-464.730500967546	6.58736225125052e-239	6.50144837573351e-35	3.86388291607438e-144	AIC_Exponential	BIC_Exponential
Successful	GCF_004526325.1_ASM452632v1	Hydrogen bonds	8.07958474249731	0.218443983181433	7.319854932349	-200.073617498032	-213.061283111043	-448.969617671008	-194.883377797763	-205.275923560639	-438.58913827047	5.78438209660069e-240	4.95490897170986e-30	1.20002305253033e-123	AIC_Exponential	BIC_Exponential
Unsuccessful	GCF_004526345.1_ASM452634v1	Hydrogen bonds	8.19267063879445	NA	8.03422313483915	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Successful	GCF_004526365.1_ASM452636v1	Hydrogen bonds	7.85064563852155	0.20267406814435	7.22061136176183	-226.982724180251	-248.199488029737	-471.151431008497	-221.792484479982	-240.414128479333	-460.770951607959	4.54387164602605e-243	3.0465437606469e-29	1.97104351761324e-130	AIC_Exponential	BIC_Exponential
Successful	GCF_004535885.1_ASM453588v1	Hydrogen bonds	7.87957110374875	0.197285047898575	7.30845257127439	-232.137951068354	-246.98987410764	-397.622675415966	-226.947711368085	-239.204514557236	-387.242196015427	1.33311507281201e-227	3.3343132864212e-17	2.58581695529682e-116	AIC_Exponential	BIC_Exponential
Successful	GCF_004551575.1_ASM455157v1	Hydrogen bonds	8.02394985388064	0.258152884656083	7.4789995275647	-290.340304952373	-295.841802967892	-494.325619969916	-285.150065252104	-288.056443417488	-483.945140569378	5.74045880548748e-250	1.0029569835608e-22	9.93580436580633e-125	AIC_Exponential	BIC_Exponential
Successful	GCF_004551615.1_ASM455161v1	Hydrogen bonds	7.16173611408662	0.171421420207582	6.63815731133273	-221.445494015985	-239.290382922493	-356.647506350189	-216.255254315716	-231.505023372089	-346.267026949651	3.75013481461578e-214	2.74302732002833e-13	1.2520909625239e-109	AIC_Exponential	BIC_Exponential
Successful	GCF_004551645.1_ASM455164v1	Hydrogen bonds	7.68564712237766	0.192595399520477	6.92745848688743	-183.199761724964	-216.109557004414	-456.271073464773	-178.009522024695	-208.324197454011	-445.890594064235	AIC_Exponential	BIC_Exponential	9.32656160517435e-239	3.19733739648455e-34	1.21800883226072e-128
Successful	GCF_004551665.1_ASM455166v1	Hydrogen bonds	7.91119482260508	0.223419667274868	7.18230876253111	-208.258350121238	-222.236485615888	-421.103072522803	-203.068110420968	-214.451126065484	-410.722593122265	2.51079298991606e-233	3.89100673991628e-24	6.90352818380068e-116	AIC_Exponential	BIC_Exponential
Unsuccessful	GCF_004564075.1_ASM456407v1	Hydrogen bonds	8.16421829536584	NA	7.93781975600157	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Successful	GCF_004564095.1_ASM456409v1	Hydrogen bonds	7.21724592210741	0.197303070383936	6.82411364724441	-295.944475493959	-307.987724071406	-420.345722687266	-290.75423579369	-300.202364521002	-409.965243286727	9.68422543592236e-229	4.99964692838962e-12	2.09184760744982e-117	AIC_Exponential	BIC_Exponential
Unsuccessful	GCF_004564115.1_ASM456411v1	Hydrogen bonds	7.20833211575738	NA	6.94325609031491	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Successful	GCF_004564135.1_ASM456413v1	Hydrogen bonds	7.45910240345256	0.163456772585695	7.02957171306059	-263.132241916875	-286.001239769262	-425.371831823098	-257.942002216606	-278.215880218858	-414.99135242256	5.14369408496166e-230	9.80146997416728e-17	1.16894721416854e-127	AIC_Exponential	BIC_Exponential
Successful	GCF_004564155.1_ASM456415v1	Hydrogen bonds	7.22773487723439	0.152789697979896	6.79576961475576	-255.862601087719	-282.611814870466	-432.004515112273	-250.67236138745	-274.826455320063	-421.624035711735	1.31938201012416e-229	1.29313105836766e-18	2.32705524181414e-130	AIC_Exponential	BIC_Exponential
Successful	GCF_004564175.1_ASM456417v1	Hydrogen bonds	7.55292613893049	0.206541598484566	6.86759104833854	-211.658063355116	-233.834004329505	-451.510383302651	-206.467823654847	-226.048644779101	-441.129903902113	2.06274019864106e-237	1.6228153834583e-28	6.97426110730083e-124	AIC_Exponential	BIC_Exponential
Successful	GCF_004564195.1_ASM456419v1	Hydrogen bonds	7.59744439617364	0.192934675358297	6.87115288027351	-190.792890492651	-221.752646721465	-443.1400806473	-185.602650792382	-213.967287171061	-432.759601246762	1.59704089311297e-235	1.29536350073781e-30	2.50986773225882e-125	AIC_Exponential	BIC_Exponential
Successful	GCF_004564215.1_ASM456421v1	Hydrogen bonds	7.80073928633593	0.194674155163898	7.41556778469342	-298.47578108546	-305.169243094905	-422.575666021385	-293.285541385191	-297.383883544501	-412.195186620847	2.21062731919397e-232	5.36753804092923e-12	1.10710902524223e-121	AIC_Exponential	BIC_Exponential
Unsuccessful	GCF_004564355.1_ASM456435v1	Hydrogen bonds	8.13085164769609	NA	7.92838427947598	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Successful	GCF_004564375.1_ASM456437v1	Hydrogen bonds	8.19008428890908	0.293253359207797	7.85512783004053	-395.822805894767	-397.142998554965	-527.655659821147	-390.632566194498	-389.357639004562	-517.275180420608	2.59118034551171e-258	7.88551170282296e-13	1.37270992151975e-125	AIC_Exponential	BIC_Exponential
Successful	GCF_004571175.1_ASM457117v1	Hydrogen bonds	7.23249972169358	0.139408246367616	6.79903805334199	-240.379945306393	-270.9827183296	-401.173632101317	-235.189705606124	-263.197358779196	-390.793152700779	2.12296642873212e-222	1.83981877869212e-16	2.49154312462416e-127	AIC_Exponential	BIC_Exponential
Successful	GCF_004571195.1_ASM457119v1	Hydrogen bonds	7.55817038061742	0.183858181108211	7.06224239971155	-254.286340191774	-272.920328160802	-438.440597921722	-249.096100491505	-265.134968610398	-428.060118521183	4.58908240712287e-234	8.24802303697939e-20	3.74640485799833e-126	AIC_Exponential	BIC_Exponential
Successful	GCF_004614295.1_ASM461429v1	Hydrogen bonds	7.00976214639861	0.172015105398312	6.62901525734346	-287.180292366409	-308.803549356751	-423.947906510391	-281.99005266614	-301.018189806347	-413.567427109853	1.80485977987413e-227	1.78546543191039e-13	9.83118274267276e-123	AIC_Exponential	BIC_Exponential
Successful	GCF_004614315.1_ASM461431v1	Hydrogen bonds	7.00969437258277	0.168861388985046	6.63617260156528	-288.561317283022	-310.278742816933	-425.297659143126	-283.371077582753	-302.493383266529	-414.917179742587	1.23821846268424e-227	1.8120343177559e-13	9.10519766068497e-124	AIC_Exponential	BIC_Exponential
Successful	GCF_004634385.1_ASM463438v1	Hydrogen bonds	8.18687145040534	0.173966134244316	8.03246248606357	-414.515966753664	-417.09796573338	-466.096146413475	-409.325727053395	-409.312606182976	-455.715667012937	6.37622745172531e-243	6.0763661419785e-05	1.31301757003777e-137	AIC_Exponential	BIC_Exponential
Unsuccessful	GCF_004634405.1_ASM463440v1	Hydrogen bonds	8.03936551223421	NA	7.77248177153659	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Successful	GCF_004634505.1_ASM463450v1	Hydrogen bonds	8.07630496696465	0.196013343371108	7.33650805235501	-191.604178578244	-214.374954035459	-469.149076462505	-186.413938877975	-206.589594485056	-458.768597061967	AIC_Exponential	BIC_Exponential	1.22133427123931e-243	4.9928886430346e-35	1.17763376060341e-132
Successful	GCF_004634525.1_ASM463452v1	Hydrogen bonds	8.07639177249468	0.195728202534626	7.33733084701534	-191.584060681604	-214.449095596929	-468.840330834347	-186.393820981335	-206.663736046525	-458.459851433809	1.4432984760212e-243	5.62155062548895e-35	1.18310813353847e-132	AIC_Exponential	BIC_Exponential
Successful	GCF_004634545.1_ASM463454v1	Hydrogen bonds	7.92391176345075	0.20576552529408	7.35455643516581	-240.770360621712	-258.479175899799	-415.781580995925	-235.580120921443	-250.693816349396	-405.401101595386	6.97764575683846e-232	1.68430036015239e-18	1.6561059011338e-118	AIC_Exponential	BIC_Exponential
Successful	GCF_004634565.1_ASM463456v1	Hydrogen bonds	8.08027173256931	0.199867782742036	7.31915694366926	-188.471677199978	-209.68865936661	-464.949337736722	-183.281437499709	-201.903299816207	-454.568858336184	7.02606480211728e-243	7.72382710065791e-35	5.9024044473356e-131	AIC_Exponential	BIC_Exponential
Successful	GCF_004634585.1_ASM463458v1	Hydrogen bonds	8.0772331894943	0.147083761543241	7.41660763428883	-146.877052430158	-176.087004874015	-262.118832169497	-141.686812729889	-168.301645323612	-251.738352768959	3.83034236258817e-198	6.5512390559978e-11	1.03023529939922e-100	AIC_Exponential	BIC_Exponential
Successful	GCF_004634605.1_ASM463460v1	Hydrogen bonds	8.07761811768517	0.146078789265179	7.41959523477679	-145.952468403308	-175.087558297769	-259.177009714586	-140.762228703039	-167.302198747365	-248.796530314048	1.80157403581749e-197	1.09637064480837e-10	2.35099394248951e-100	AIC_Exponential	BIC_Exponential
